BurstID,Date,MJD(topo@1.5GHz),MJD(bary@inf freq.),DM(pc/cc),DM_err(pc/cc),Weff(ms),Weff_err(ms),Flux(mJy),Flux_err(mJy),Bandwidth(MHz),Bandwidth_err(MHz),Lower_Freq.(MHz),Lower_Freq_err(MHz),Center_Freq.(MHz),Center_Freq_err(MHz),Upper_Freq.(MHz),Upper_freq_err(MHz),Tsamp(s),Nchan,Fluence(mJy ms),Fluence_err(mJy ms),Energy(erg),Energy_err(erg),note,bestfit
B00011,20240129,60338.225180877,60338.221055485,527.2,0.6,2.52,0.14,239.82,7.45,74.5,6.7,1002.8,1.4,1040.1,3.4,1077.3,6.6,0.000049152,4096,603.44,39.25,1.91158E+37,2.12163E+36,,CDF
B00012,20240129,60338.228024425,60338.223898951,528.3,0.1,2,0.07,389.79,9.97,158.7,21.2,1002.6,1.2,1082,10.6,1161.4,21.1,0.000049152,4096,778.72,34.17,5.25487E+37,7.38865E+36,,CDF
B00013,20240129,60338.228378324,60338.224252839,527.5,0.2,0.72,0.07,136.26,7.37,172.9,34.6,1000.4,24.4,1086.9,24.4,1173.3,24.4,0.000049152,4096,98.66,11.38,7.25356E+36,1.67557E+36,,Manual
B00014,20240129,60338.228829717,60338.224704219,525.4,0.4,1.42,0.2,85.52,1.45,48.9,8.8,1385.9,4.9,1410.4,2.1,1434.8,4.9,0.000049152,4096,121.7,16.89,2.53058E+36,5.75118E+35,,Gaussian
B00015,20240129,60338.231902345,60338.227776758,529.8,0.2,2.45,0.32,53.73,1.11,202.3,20,1020.8,11,1122,4.5,1223.1,11,0.000049152,4096,131.39,17.28,1.13021E+37,1.85939E+36,,Gaussian
B00016,20240129,60338.234152992,60338.230027340,529.7,0.2,2.34,0.27,91.12,5.97,105.1,2.8,1002.2,1.5,1054.7,0.7,1107.3,1.5,0.000049152,4096,213.1,28.03,9.52318E+36,1.27812E+36,,Gaussian
B00017,20240129,60338.235113441,60338.230987761,531.9,0.2,4.43,0.29,77.54,4.18,443.2,46.8,1006.8,4.6,1228.4,23.4,1450,46.6,0.000049152,4096,343.69,28.91,6.47694E+37,8.74457E+36,,CDF
B00018,20240129,60338.235114797,60338.230989117,531.1,0.6,3.96,0.2,195.59,5.21,155.5,4,1002.7,1.2,1080.4,2,1158.1,3.8,0.000049152,4096,774.16,43.87,5.11877E+37,3.18584E+36,,CDF
B00019,20240129,60338.235564852,60338.231439159,529.1,0.1,2.47,0.1,313.51,7.76,174.1,21.5,1002.6,1.2,1089.7,10.7,1176.7,21.4,0.000049152,4096,774.84,35.52,5.73609E+37,7.55596E+36,,CDF
B00020,20240201,60341.181337419,60341.177133035,524.6,1,3.51,0.5,56.64,11.28,103.4,13.2,1408.3,7.4,1460,3.2,1511.7,7.4,0.000049152,4096,198.58,48.48,8.73094E+36,2.40553E+36,,Gaussian
B00021,20240201,60341.183438290,60341.179233856,527.7,NaN ,3.44,0.71,29.4,2.66,176.9,5.6,1007.9,3.1,1096.4,1.2,1184.8,3.1,0.000049152,4096,101,22.75,7.59735E+36,1.72843E+36,,Gaussian
B00022,20240201,60341.188799830,60341.184595268,528.9,0.1,2.68,0.2,148.46,3.29,157.1,6.7,1010.3,3,1088.9,3.4,1167.5,6,0.000049152,4096,397.9,31.56,2.65803E+37,2.39389E+36,,CDF
B00023,20240201,60341.188800090,60341.184595528,529.1,0.1,2.46,0.36,68.06,3.83,200.4,5.9,979.8,3.2,1080,1.3,1180.2,3.2,0.000049152,4096,167.22,26.27,1.42496E+37,2.27768E+36,,Gaussian
B00024,20240201,60341.188898662,60341.184694097,529.3,1.7,4.82,0.78,80.77,1.9,116.3,13.4,1003.5,7.5,1061.6,3.5,1119.8,7.5,0.000049152,4096,389.53,63.87,1.92628E+37,3.86017E+36,,Gaussian
B00025,20240201,60341.191532740,60341.187328112,528.8,0.3,1.55,0.22,75.02,4.15,102.3,9.9,1008.4,9,1059.6,5,1110.7,4.2,0.000049152,4096,116.36,17.98,5.06148E+36,9.22904E+35,,CDF
B00026,20240201,60341.197224205,60341.193019441,527.6,0.3,1.04,0.13,65.15,4.01,168.7,24.1,1258.9,13.1,1343.2,5.2,1427.6,13.1,0.000049152,4096,67.45,9.67,4.83861E+36,9.79068E+35,,Gaussian
B00027,20240201,60341.198110270,60341.193905485,528.6,0.3,2.27,0.2,135.17,8.02,113.3,1.9,1004.2,1.1,1060.8,0.5,1117.5,1.1,0.000049152,4096,306.74,32.25,1.47775E+37,1.5734E+36,,Gaussian
B00028,20240201,60341.198954497,60341.194749691,530.4,0.5,3.65,0.2,198.95,5.46,121.3,6.6,1006.8,3.7,1067.5,1.6,1128.2,3.7,0.000049152,4096,726.88,44.39,3.7491E+37,3.06641E+36,,Gaussian
B00029,20240204,60344.242574555,60344.238303271,528.6,0.2,3.91,0.27,152.03,5.23,151.6,6,1005.3,3.1,1081.1,3,1156.8,5.1,0.000049152,4096,594.99,45.82,3.83543E+37,3.32063E+36,,CDF
B00030,20240204,60344.261549261,60344.257277605,527.7,NaN ,1.81,0.27,88.4,5.05,123.7,4,981.9,2.2,1043.7,0.9,1105.5,2.2,0.000049152,4096,159.7,25.73,8.39998E+36,1.38049E+36,,Gaussian
B00031,20240209,60349.157488110,60349.153141578,529,0.3,1.94,0.09,467.86,20.92,90.2,14.3,1002.6,1.1,1047.7,7.1,1092.8,14.2,0.000049152,4096,908.53,59.01,3.48457E+37,5.96993E+36,,CDF
B00032,20240209,60349.157838126,60349.153491590,528.5,0.1,4.91,0.16,312.59,25.96,237.6,9.4,1002.6,1.1,1121.4,4.7,1240.2,9.3,0.000049152,4096,1536.29,136.49,1.55211E+38,1.50948E+37,,CDF
B00033,20240209,60349.158960717,60349.154614169,528.8,0.4,2.46,0.29,89.37,7.49,208.6,5.4,981,2.9,1085.3,1.1,1189.6,2.9,0.000049152,4096,220.12,31.76,1.95245E+37,2.86176E+36,,Gaussian
B00034,20240209,60349.168853144,60349.164506489,531.2,0.2,5.13,0.33,107.85,5.5,237.7,14.5,1056.2,7.9,1175.1,3,1294,7.9,0.000049152,4096,552.82,45.36,5.58753E+37,5.71312E+36,,Gaussian
