BurstID,Date,MJD(topo@1.5GHz),MJD(bary@inf freq.),DM(pc/cc),DM_err(pc/cc),Weff(ms),Weff_err(ms),Flux(mJy),Flux_err(mJy),Bandwidth(MHz),Bandwidth_err(MHz),Lower_Freq.(MHz),Lower_Freq_err(MHz),Center_Freq.(MHz),Center_Freq_err(MHz),Upper_Freq.(MHz),Upper_freq_err(MHz),Tsamp(s),Nchan,Fluence(mJy ms),Fluence_err(mJy ms),Energy(erg),Energy_err(erg),note,bestfit
B02519,20240308,60377.214748554,60377.210735685,529.2,0.1,2.46,0.09,134.61,7.2,341.1,9.3,1018.5,3.8,1189,4.1,1359.6,8.5,0.000049152,4096,331.17,21.16,4.80327E+37,3.33641E+36,,CDF
B02520,20240308,60377.214794143,60377.210781276,531.3,0.6,2.8,0.2,84.11,4.47,194.1,3.9,1033.9,2.2,1131,1,1228,2.2,0.000049152,4096,235.75,21.25,1.94572E+37,1.79662E+36,,Gaussian
B02521,20240308,60377.214957095,60377.210944233,528.8,0.1,2.97,0.11,217.89,5.9,178.7,11.1,1002.6,1,1092,5.6,1181.3,11.1,0.000049152,4096,646.56,29.07,4.91289E+37,3.7673E+36,,CDF
B02522,20240308,60377.215099891,60377.211087034,529.5,0.1,1.51,0.11,59,3.16,543.7,15.4,1042.2,8.4,1314.1,3.4,1586,8.4,0.000049152,4096,88.82,7.99,2.05337E+37,1.93554E+36,,Gaussian
B02523,20240308,60377.215114200,60377.211101343,527.7,0.2,2.5,0.33,43.97,1.41,204.7,14,1105.6,11,1207.9,7,1310.3,8.7,0.000049152,4096,110.15,14.87,9.58733E+36,1.45124E+36,,CDF
B02524,20240308,60377.215271563,60377.211258712,532.1,0.3,3.66,0.13,118.04,6.68,444.3,88.9,1055.1,62.8,1277.3,62.8,1499.5,62.8,0.000049152,4096,432.26,28.9,8.16626E+37,1.72282E+37,high RFI,Manual
B02525,20240308,60377.215271692,60377.211258841,528.9,0.8,1.3,0.09,107.31,6.22,190.7,7.4,1298.4,4.1,1393.7,1.7,1489.1,4.1,0.000049152,4096,139.37,12.36,1.13008E+37,1.09377E+36,high RFI,Gaussian
B02526,20240308,60377.215279109,60377.211266258,525.6,0.8,4.55,0.43,102.57,2.56,202.6,5.3,1015.3,4.4,1116.6,2.7,1217.8,2.9,0.000049152,4096,466.5,45.61,4.01879E+37,4.06773E+36,high RFI,CDF
B02527,20240308,60377.215305237,60377.211292387,527.7,NaN ,3.96,0.22,184.02,4.69,150.3,8.8,1029.6,5.2,1104.7,4.4,1179.9,7.1,0.000049152,4096,729.04,44.62,4.65925E+37,3.94653E+36,high RFI,CDF
B02528,20240308,60377.215349342,60377.211336493,529,1.4,3.65,0.16,206.64,8.82,305.4,20.2,1062.4,12,1215.1,10.1,1367.8,16.2,0.000049152,4096,754.86,46.15,9.80259E+37,8.82885E+36,high RFI,CDF
B02529,20240308,60377.215349633,60377.211336784,529,1.4,5.27,0.24,204.83,5.46,165.1,10,1050.7,6.5,1133.2,5,1215.8,7.7,0.000049152,4096,1078.64,56.42,7.57233E+37,6.06007E+36,high RFI,CDF
B02530,20240308,60377.215363266,60377.211350418,527.7,NaN ,1.1,0.06,261.07,15.64,146.9,3.7,1341.3,2,1414.7,0.8,1488.2,2,0.000049152,4096,286.69,24,1.79077E+37,1.56555E+36,high RFI,Gaussian
B02531,20240308,60377.215545777,60377.211532935,528.6,1.6,4.19,0.23,170.6,4.13,127,13.9,1086.9,6.8,1150.4,7,1213.9,12.2,0.000049152,4096,714.42,43.26,3.85798E+37,4.82563E+36,high RFI,CDF
B02532,20240308,60377.215957370,60377.211944542,530.3,1.6,1.82,0.13,143.7,8.19,194.4,22.1,1289,8.7,1386.2,10.9,1483.4,20.3,0.000049152,4096,261.64,23.51,2.16277E+37,3.13384E+36,high RFI,CDF
B02533,20240308,60377.215974924,60377.211962096,526.9,1.9,1.88,0.14,116.6,3.08,144.4,7.2,1307.8,5.5,1380,3.6,1452.2,4.7,0.000049152,4096,219.09,17.78,1.34522E+37,1.28131E+36,high RFI,CDF
B02534,20240308,60377.216026643,60377.212013817,528.7,1.5,3.27,0.22,152.09,4.11,154.1,8,1058.5,5.9,1135.5,4,1212.6,5.5,0.000049152,4096,497.5,35.82,3.25988E+37,2.89368E+36,high RFI,CDF
B02535,20240308,60377.216204182,60377.212191362,528.2,0.1,1.13,0.05,493.99,24.19,367.4,5,1068.9,3.1,1252.6,2.5,1436.4,3.9,0.000049152,4096,556.91,37.38,8.70021E+37,5.95901E+36,high RFI,CDF
B02536,20240308,60377.216404940,60377.212392127,525.3,1.7,7.1,1.16,53.09,3.04,271.9,10.5,1294.8,6.1,1430.7,3.1,1566.7,6.1,0.000049152,4096,376.69,65.23,4.35506E+37,7.72734E+36,high RFI,Gaussian
B02537,20240308,60377.216599887,60377.212587080,528.3,1.9,3.45,0.29,119.19,3.27,121.7,17.5,1098.3,11.3,1159.1,8.8,1220,13.4,0.000049152,4096,411.12,36.86,2.12748E+37,3.60515E+36,high RFI,CDF
B02538,20240308,60377.216921973,60377.212909177,528.7,1.5,1.91,0.17,100.58,6.03,240,17.7,1037.7,11.9,1157.7,8.2,1277.7,13,0.000049152,4096,192.58,20.9,1.96527E+37,2.57897E+36,high RFI,CDF
B02539,20240308,60377.216922071,60377.212909275,528.7,1.5,3.74,0.15,220.54,13.37,302,4.5,1011.9,2.5,1163,1.2,1314,2.5,0.000049152,4096,825.07,59.39,1.0595E+38,7.78794E+36,high RFI,Gaussian
B02540,20240308,60377.216934812,60377.212922017,526.6,0.4,3.03,0.08,517.53,14.14,192.6,7.7,1008.4,3.6,1104.7,3.8,1201,6.8,0.000049152,4096,1566.15,59.22,1.28261E+38,7.05821E+36,high RFI,CDF
B02541,20240308,60377.216941389,60377.212928594,526.1,1.6,3.86,0.19,149.09,8.94,363.3,72.7,1102,51.4,1283.6,51.4,1465.3,51.4,0.000049152,4096,575.4,44.37,8.88873E+37,1.9062E+37,high RFI,Manual
B02542,20240308,60377.216941976,60377.212929181,529.3,1.4,1.67,0.07,244.8,14.23,403.6,9.9,1068,5.4,1269.8,2.3,1471.6,5.4,0.000049152,4096,409.45,29.49,7.02684E+37,5.34588E+36,high RFI,Gaussian
B02543,20240308,60377.216994791,60377.212981998,527.2,1.3,2.11,0.13,235,13.94,169.9,19.1,1300.2,4.5,1385.2,9.5,1470.1,18.5,0.000049152,4096,495.53,42.39,3.57984E+37,5.05693E+36,high RFI,CDF
B02544,20240308,60377.217196833,60377.213184047,528.1,1.8,1.68,0.13,247.61,11.62,177.1,18.3,1313.2,8.8,1401.8,9.2,1490.3,16.1,0.000049152,4096,415.61,36.89,3.12971E+37,4.26344E+36,high RFI,CDF
B02545,20240308,60377.217265117,60377.213252333,528.7,1.5,2.64,0.23,110.07,7.14,179,4,985.2,2.2,1074.7,0.9,1164.2,2.2,0.000049152,4096,290.38,31.32,2.21015E+37,2.43468E+36,high RFI,Gaussian
B02546,20240308,60377.217304895,60377.213292112,530.1,0.3,2.36,0.17,154.01,9.03,113.2,8.8,1385.2,7.8,1441.8,4.8,1498.4,4.1,0.000049152,4096,364.14,33.97,1.75274E+37,2.12832E+36,high RFI,CDF
B02547,20240308,60377.217305182,60377.213292399,526.9,1.8,4.63,0.69,57.69,3.38,145.8,6.7,1028,3,1101,3.2,1173.9,6,0.000049152,4096,267.14,42.98,1.65614E+37,2.77135E+36,high RFI,CDF
B02548,20240308,60377.217305587,60377.213292804,525.2,1.7,3.21,0.4,152.77,4.32,186.3,21.2,1292.8,6.2,1385.9,10.6,1479.1,20.3,0.000049152,4096,490.88,63.34,3.88862E+37,6.68997E+36,high RFI,CDF
B02549,20240308,60377.217540197,60377.213527422,526.4,6.3,2.7,0.18,174.85,5.11,129.2,8.9,1040.6,6,1105.2,4.4,1169.8,6.5,0.000049152,4096,472.82,34.77,2.59755E+37,2.61734E+36,high RFI,CDF
B02550,20240308,60377.217832250,60377.213819485,528.3,0.2,2.4,0.07,381.75,15.92,316,7.5,1049.2,5,1207.1,3.8,1365.1,5.5,0.000049152,4096,914.62,47.43,1.22895E+38,7.00871E+36,high RFI,CDF
B02551,20240308,60377.218149345,60377.214136591,526,1.2,2.5,0.12,224.81,5.74,59.5,6.9,1393.7,5.6,1423.5,3.5,1453.2,4.1,0.000049152,4096,562.71,31.45,1.42365E+37,1.83272E+36,high RFI,CDF
B02552,20240308,60377.218325327,60377.214312579,527.8,2,2.12,0.19,90.3,5.25,333.8,9.7,1166.3,5.4,1333.2,2.4,1500.1,5.4,0.000049152,4096,191.05,20.24,2.71162E+37,2.97925E+36,high RFI,Gaussian
B02553,20240308,60377.218537627,60377.214524886,527,1.3,2.91,0.26,69.56,4.01,488.7,24.5,1104.6,13.7,1348.9,6.1,1593.2,13.7,0.000049152,4096,202.14,21.4,4.20042E+37,4.92114E+36,high RFI,Gaussian
B02554,20240308,60377.218671985,60377.214659248,527.1,0.5,1.79,0.1,163.04,7.59,278,22.5,1127.2,21.5,1266.2,11.3,1405.2,6.5,0.000049152,4096,292.56,21.73,3.45828E+37,3.79888E+36,high RFI,CDF
B02555,20240308,60377.219059890,60377.215047166,528,4,3.76,0.16,233.58,6.3,146.7,17,1318.8,6.7,1392.2,8.5,1465.5,15.6,0.000049152,4096,877.92,44.15,5.47632E+37,6.91781E+36,high RFI,CDF
B02556,20240308,60377.219060222,60377.215047498,528.3,7.2,5.91,0.29,295.19,12.3,138.6,12.2,1359.6,10.8,1428.9,6.1,1498.2,5.5,0.000049152,4096,1746.01,111.93,1.029E+38,1.12052E+37,high RFI,CDF
B02557,20240308,60377.219320300,60377.215307585,527.6,1.9,3.41,0.44,94.9,2.37,65,4,1076,1.8,1108.5,2,1141,3.6,0.000049152,4096,323.31,42.36,8.93573E+36,1.29343E+36,high RFI,CDF
B02558,20240308,60377.219639397,60377.215626693,529,1.5,1.58,0.14,93.29,5.6,340,9.4,1056,5.4,1226,2.6,1396,5.4,0.000049152,4096,147.57,16.06,2.13342E+37,2.39491E+36,high RFI,Gaussian
B02559,20240308,60377.219639788,60377.215627084,530,0.1,2.66,0.06,483.51,21.08,273.5,7,1078.9,5.5,1215.6,3.5,1352.4,4.3,0.000049152,4096,1288,64.07,1.49789E+38,8.37918E+36,high RFI,CDF
B02560,20240308,60377.219768785,60377.215756085,528.4,1.5,4.25,0.13,372.25,10.17,190.3,7.6,1011.4,5.6,1106.6,3.8,1201.7,5.3,0.000049152,4096,1580.62,65.41,1.279E+38,7.35532E+36,high RFI,CDF
B02561,20240308,60377.220295357,60377.216282675,526.5,1.5,4.59,0.13,349.03,9.2,244.5,15.6,1029.7,4.2,1152,7.8,1274.2,15,0.000049152,4096,1602.51,61.71,1.66603E+38,1.2416E+37,high RFI,CDF
B02562,20240308,60377.220408448,60377.216395770,527.5,2.4,1.72,0.09,231.15,13.15,203.4,18.8,1288.4,10.3,1390,9.2,1491.7,15.7,0.000049152,4096,397.13,30.86,3.43472E+37,4.1477E+36,high RFI,CDF
B02563,20240308,60377.221133476,60377.217120822,529.7,1.3,3.54,0.32,143.75,4.47,149.4,9.1,1007.7,4.3,1082.4,4.6,1157.1,8.1,0.000049152,4096,509.17,48.49,3.23456E+37,3.65678E+36,high RFI,CDF
B02564,20240308,60377.221358511,60377.217345865,529.2,1.6,1.34,0.07,188.66,5.14,132.8,7,1309.7,4.7,1376.1,3.5,1442.5,5.2,0.000049152,4096,253.1,15.67,1.42921E+37,1.16216E+36,high RFI,CDF
B02565,20240308,60377.221359644,60377.217346998,527.2,1.4,7.2,0.32,205.94,5.87,216.3,12.3,1038.7,7.5,1146.8,6.1,1255,9.7,0.000049152,4096,1482.22,78.43,1.36324E+38,1.05892E+37,high RFI,CDF
B02566,20240309,60378.192467544,60378.188489034,528.6,0.1,2.99,0.2,85.82,1.97,186.7,11.4,1012.2,2.8,1105.5,5.7,1198.9,11,0.000049152,4096,256.51,18.16,2.03638E+37,1.90402E+36,,CDF
B02567,20240309,60378.192696369,60378.188717867,529,0.1,1.84,0.16,43.47,2.22,302.2,6,1014.1,3.3,1165.2,1.5,1316.3,3.3,0.000049152,4096,79.8,8.18,1.0254E+37,1.07045E+36,,Gaussian
B02568,20240309,60378.192938657,60378.188960163,530.1,0.3,3.91,0.44,49.8,2.53,181.6,3.8,982.5,2.1,1073.3,0.9,1164.1,2.1,0.000049152,4096,194.62,24.22,1.50285E+37,1.89654E+36,,Gaussian
B02569,20240309,60378.192939703,60378.188961209,528.3,0.2,2.73,0.24,69.97,3.58,132.1,2.7,988.3,1.5,1054.3,0.6,1120.4,1.5,0.000049152,4096,190.99,19.56,1.07281E+37,1.12016E+36,,Gaussian
B02570,20240309,60378.193103566,60378.189125078,528.8,0.1,2.29,0.05,489.69,11.38,238.3,3,1003,1.4,1122.2,1.5,1241.4,2.7,0.000049152,4096,1123.49,37.48,1.13841E+38,4.05878E+36,,CDF
B02571,20240309,60378.193106584,60378.189128096,529.2,0.1,1.71,0.09,89.58,5.42,325.9,6.7,1194,3.7,1356.9,1.5,1519.9,3.7,0.000049152,4096,153.47,12.33,2.1268E+37,1.76356E+36,,Gaussian
B02572,20240309,60378.193146856,60378.189168370,528.8,0.1,1.69,0.07,141.87,9.96,241.1,10.1,1256.2,9.3,1376.8,5,1497.3,3.9,0.000049152,4096,239.92,19.52,2.45966E+37,2.25075E+36,,CDF
B02573,20240309,60378.193164131,60378.189185645,527.1,0.6,1.78,0.17,66.78,6.3,143.6,28.7,1355.9,20.3,1427.7,20.3,1499.5,20.3,0.000049152,4096,118.67,16.04,7.2458E+36,1.74831E+36,,Manual
B02574,20240309,60378.193164929,60378.189186443,530.5,0.1,3.82,0.1,171.84,6.92,324.6,7.3,1076.9,6.3,1239.2,3.6,1401.4,3.6,0.000049152,4096,655.97,31.22,9.05396E+37,4.76628E+36,,CDF
B02575,20240309,60378.193280982,60378.189302500,530.1,0.1,1.9,0.12,88.31,2.21,177.8,10.5,1320.3,4.8,1409.2,5.3,1498.1,9.4,0.000049152,4096,167.4,11.51,1.26557E+37,1.14699E+36,,CDF
B02576,20240309,60378.193300332,60378.189321851,531.7,0.8,1.77,0.22,45.63,2.25,187.5,5.6,1227.6,3.1,1321.4,1.4,1415.1,3.1,0.000049152,4096,80.84,10.88,6.44478E+36,8.88184E+35,,Gaussian
B02577,20240309,60378.193304675,60378.189326194,529,0.1,2.5,0.11,163.63,4.1,172.7,10.4,1002.7,1.1,1089,5.2,1175.4,10.3,0.000049152,4096,408.81,20.24,3.00206E+37,2.34044E+36,,CDF
B02578,20240309,60378.193337075,60378.189358595,529.7,0.2,1.94,0.1,102.63,6.81,236.4,8.7,1254.5,6,1372.7,4.3,1490.9,6.3,0.000049152,4096,198.95,16.48,1.99989E+37,1.81288E+36,,CDF
B02579,20240309,60378.193676906,60378.189698438,529.9,0.1,1.48,0.05,287.01,13.97,269.6,12.2,1229.8,12.2,1364.6,6.1,1499.4,0.7,0.000049152,4096,425.8,25.9,4.88129E+37,3.70027E+36,,CDF
B02580,20240309,60378.193867375,60378.189888914,529.3,0.2,1.75,0.19,38.73,1.78,326.4,22.3,1089.3,17.6,1252.5,8,1415.8,13.7,0.000049152,4096,67.6,7.91,9.3816E+36,1.27173E+36,,CDF
B02581,20240309,60378.193897567,60378.189919107,528.8,0.1,4.03,0.15,157.42,3.57,206.3,9.7,1002.7,1.1,1105.8,4.8,1209,9.6,0.000049152,4096,635.08,27.3,5.57101E+37,3.54909E+36,,CDF
B02582,20240309,60378.194272942,60378.190294495,529,0.1,4.95,0.24,74.68,5.57,380.2,9,1118.5,8.9,1308.6,4.5,1498.7,1.1,0.000049152,4096,369.54,32.97,5.97417E+37,5.51481E+36,,CDF
B02583,20240309,60378.194373854,60378.190395411,528.8,0.1,3.48,0.24,76.29,1.61,201,11.3,1012.8,7.2,1113.3,5.7,1213.7,8.8,0.000049152,4096,265.56,18.93,2.26967E+37,2.06075E+36,,CDF
B02584,20240309,60378.194434416,60378.190455975,531.1,0.2,2.86,0.06,317.24,15.54,480.2,3.8,1018.7,3.6,1258.8,1.8,1498.9,1,0.000049152,4096,906.71,47.88,1.85138E+38,9.88587E+36,,CDF
B02585,20240309,60378.194831427,60378.190853000,532.5,0.4,4.05,0.06,355.18,16.7,373.8,18.2,1125.4,18.2,1312.3,9.1,1499.2,1,0.000049152,4096,1439.43,71.27,2.28788E+38,1.58876E+37,,CDF
B02586,20240309,60378.194920174,60378.190941750,529.6,0.2,2.81,0.24,42.37,2.32,301.9,30.5,1069.5,4.9,1220.4,15.1,1371.4,30.1,0.000049152,4096,119.03,12.17,1.52804E+37,2.19605E+36,,CDF
B02587,20240309,60378.194921444,60378.190943020,529.4,0.1,5,0.18,104.54,4.05,355.3,26.4,1052.4,21.8,1230,13.2,1407.7,14.8,0.000049152,4096,523.08,27.48,7.90256E+37,7.19126E+36,,CDF
B02588,20240309,60378.194975757,60378.190997335,530.9,0.5,3.21,0.34,68.49,4.68,110.2,4.3,1418.8,2.4,1473.9,1.1,1529,2.4,0.000049152,4096,219.9,27.69,1.03041E+37,1.35821E+36,,Gaussian
B02589,20240309,60378.195097681,60378.191119264,529.6,0.1,2.72,0.25,60.96,1.48,204.2,23.5,1088.8,18.5,1190.9,11.7,1293,14.4,0.000049152,4096,165.73,15.55,1.43897E+37,2.13646E+36,,CDF
B02590,20240309,60378.195306554,60378.191328144,533.5,0.5,4.39,0.22,82.19,3.94,319.9,11.5,1257.9,6.3,1417.9,2.6,1577.8,6.3,0.000049152,4096,361.15,25.26,4.91256E+37,3.8634E+36,,Gaussian
B02591,20240309,60378.195306959,60378.191328549,529.7,0.2,2.02,0.18,50.92,2.44,263.5,6.9,1115.9,5.4,1247.7,3,1379.4,4.3,0.000049152,4096,102.67,10.42,1.15035E+37,1.2062E+36,,CDF
B02592,20240309,60378.195528130,60378.191549728,529,0.2,1.19,0.1,69.82,3.37,213.6,17.3,1226.8,15.1,1333.6,8.2,1440.4,8.4,0.000049152,4096,82.93,7.98,7.53191E+36,9.47197E+35,,CDF
B02593,20240309,60378.195532218,60378.191553816,528,0.1,0.75,0.06,159.35,7.82,166.1,2.7,1064.2,1.5,1147.2,0.7,1230.3,1.5,0.000049152,4096,119.27,10.85,8.42371E+36,7.78363E+35,,Gaussian
B02594,20240309,60378.195734598,60378.191756203,529.4,0.3,1.21,0.1,75.8,3.66,169.3,5.7,1325.4,3.2,1410.1,1.4,1494.7,3.2,0.000049152,4096,91.93,8.74,6.61752E+36,6.67152E+35,,Gaussian
B02595,20240309,60378.195735160,60378.191756765,528.2,0.2,1.32,0.16,37.02,1.79,338.7,20.4,1214,11.1,1383.3,4.4,1552.7,11.1,0.000049152,4096,48.78,6.47,7.0249E+36,1.02289E+36,,Gaussian
B02596,20240309,60378.195735601,60378.191757206,530.5,0.1,2.36,0.05,383.19,18.69,444.7,12.7,1015.4,3.5,1237.8,6.1,1460.1,12.2,0.000049152,4096,902.72,48.51,1.70697E+38,1.03879E+37,,CDF
B02597,20240309,60378.195846680,60378.191868289,528.2,0.1,2.36,0.25,56.69,1.27,157.3,8.4,1068.7,5.7,1147.3,4.2,1225.9,6.1,0.000049152,4096,133.78,14.25,8.94829E+36,1.06612E+36,,CDF
B02598,20240309,60378.195870137,60378.191891747,531,0.2,3.28,0.11,125.95,10.1,366.9,16.5,1125.7,15.7,1309.2,8.3,1492.6,5.2,0.000049152,4096,413.02,35.86,6.44353E+37,6.30002E+36,,CDF
B02599,20240309,60378.195901740,60378.191923351,529.4,0.1,2.71,0.06,282.25,13.67,400.4,6.3,1012.3,3.4,1212.5,3,1412.7,5.3,0.000049152,4096,764.44,40.59,1.30149E+38,7.20701E+36,,CDF
B02600,20240309,60378.195902090,60378.191923701,531.7,0.8,4.42,0.08,238.51,11.55,445.7,15.6,1053.3,15.6,1276.1,7.8,1499,0.8,0.000049152,4096,1054.83,54.36,1.99908E+38,1.24539E+37,,CDF
B02601,20240309,60378.195903205,60378.191924816,530.1,0.3,5.1,0.28,150.29,3.82,196.1,12.3,1002.7,1.1,1100.7,6.2,1198.7,12.3,0.000049152,4096,766.57,46.18,6.39197E+37,5.55893E+36,,CDF
B02602,20240309,60378.195915889,60378.191937501,527,1.7,5.07,0.59,40.67,1.97,236.7,13.1,1354.5,7.6,1472.8,3.9,1591.2,7.6,0.000049152,4096,206.38,26.1,2.0772E+37,2.86786E+36,,Gaussian
B02603,20240309,60378.196054357,60378.192075973,529.2,0.1,1.33,0.07,92.1,4.68,395.5,69.2,1088.6,69,1286.4,34.2,1484.1,4.4,0.000049152,4096,122.32,8.87,2.0571E+37,3.8963E+36,,CDF
B02604,20240309,60378.196171229,60378.192192850,529.3,0.1,1.96,0.1,95.96,4.79,300.5,24.1,1167.4,14.3,1317.6,12,1467.8,19.4,0.000049152,4096,188.01,13.15,2.40227E+37,2.55671E+36,,CDF
B02605,20240309,60378.196172053,60378.192193674,530.1,0.3,1.86,0.31,29.12,1.44,216.3,7.7,979.3,4.2,1087.4,1.7,1195.6,4.2,0.000049152,4096,54.3,9.55,4.99412E+36,8.96582E+35,,Gaussian
B02606,20240309,60378.196183089,60378.192204710,530.4,0.1,4.23,0.18,80.91,4.08,413.5,12.3,1012.7,3.1,1219.5,6.1,1426.3,11.9,0.000049152,4096,342.29,22.78,6.01825E+37,4.38775E+36,,CDF
B02607,20240309,60378.196183226,60378.192204847,530,0.1,3.94,0.12,158.39,4.74,297.4,19.6,1030.5,12.3,1179.2,9.8,1327.9,15.3,0.000049152,4096,624.64,26.34,7.89899E+37,6.18028E+36,,CDF
B02608,20240309,60378.196397260,60378.192418889,530.1,0.1,2.66,0.11,96.6,4.67,364.3,7.6,1012.8,3.4,1195,3.7,1377.1,6.7,0.000049152,4096,256.79,16.38,3.97779E+37,2.67028E+36,,CDF
B02609,20240309,60378.196709742,60378.192731382,529.5,0.4,1.92,0.28,43.04,2.11,146.4,4.3,988,2.4,1061.2,1,1134.3,2.4,0.000049152,4096,82.79,12.67,5.15367E+36,8.02838E+35,,Gaussian
B02610,20240309,60378.196731348,60378.192752988,529,0.2,6.09,0.39,76.9,1.69,228,5.4,1009.5,3.6,1123.5,2.7,1237.5,4,0.000049152,4096,468.07,31.83,4.53783E+37,3.2679E+36,,CDF
B02611,20240309,60378.196767588,60378.192789230,531.4,0.5,2.11,0.24,47.04,2.35,207.4,9.8,1310.4,5.4,1414.1,2.2,1517.8,5.4,0.000049152,4096,99.11,12.45,8.74015E+36,1.17289E+36,,Gaussian
B02612,20240309,60378.196874339,60378.192895984,529.6,0.1,3.22,0.07,307.71,7.82,257.3,14.7,1002.7,1.2,1131.3,7.3,1259.9,14.6,0.000049152,4096,989.92,33.2,1.08304E+38,7.17502E+36,,CDF
B02613,20240309,60378.196888202,60378.192909848,528.5,0.4,2.31,0.45,24.18,1.17,328.1,10.9,1133.5,6.1,1297.6,2.7,1461.6,6.1,0.000049152,4096,55.87,11.12,7.79509E+36,1.57283E+36,,Gaussian
B02614,20240309,60378.196906142,60378.192927789,531.4,0.1,2.81,0.12,126.23,10.29,204.6,11.4,1292.4,11,1394.7,5.7,1497,3,0.000049152,4096,354.75,32.41,3.08626E+37,3.30226E+36,,CDF
B02615,20240309,60378.197063720,60378.193085372,530.1,0.2,4.43,0.11,235.77,10.78,483.6,4.5,1015.8,4.5,1257.6,2.3,1499.4,0.7,0.000049152,4096,1044.4,54.06,2.14762E+38,1.12945E+37,,CDF
B02616,20240309,60378.197064416,60378.193086068,528.6,0.1,2.21,0.13,108.49,5.37,181.9,3.7,1008,2,1099,0.9,1189.9,2,0.000049152,4096,240.24,18.49,1.85818E+37,1.47932E+36,,Gaussian
B02617,20240309,60378.197065336,60378.193086988,531.1,0.4,2.83,0.15,115.79,5.68,171.5,11.6,1325.5,11,1411.3,5.8,1497.1,3.7,0.000049152,4096,327.95,23.54,2.3915E+37,2.35874E+36,,CDF
B02618,20240309,60378.197097649,60378.193119302,530,0.2,3.12,0.59,40.15,1,104.7,14,1100,9,1152.4,7,1204.7,10.8,0.000049152,4096,125.12,23.82,5.57017E+36,1.29597E+36,,CDF
B02619,20240309,60378.197099642,60378.193121295,531.6,0.2,5.17,0.2,132.77,3.21,231.5,6.5,1002.9,1.3,1118.6,3.3,1234.4,6.4,0.000049152,4096,686.62,31.44,6.75886E+37,3.63075E+36,,CDF
B02620,20240309,60378.197112554,60378.193134208,530.3,0.3,3.39,0.21,86.11,4.29,196,8.8,1299.5,7.8,1397.5,4.4,1495.5,4.1,0.000049152,4096,292.21,23.16,2.43535E+37,2.21848E+36,,CDF
B02621,20240309,60378.197266003,60378.193287662,527.9,0.1,3.43,0.32,68.9,1.79,208.9,12.9,1002.6,1.1,1107.1,6.5,1211.5,12.9,0.000049152,4096,236.43,22.82,2.10015E+37,2.40626E+36,,CDF
B02622,20240309,60378.197266523,60378.193288182,529.8,0.4,2.12,0.38,36.44,1.77,170.2,4.6,1006.5,2.5,1091.6,1.1,1176.7,2.5,0.000049152,4096,77.2,14.43,5.58692E+36,1.05536E+36,,Gaussian
B02623,20240309,60378.197325172,60378.193346833,530.4,0.2,3.02,0.3,62.72,1.47,166.5,15.3,1013,4.5,1096.3,7.7,1179.6,14.7,0.000049152,4096,189.67,19.22,1.34279E+37,1.83713E+36,,CDF
B02624,20240309,60378.197338166,60378.193359828,530.1,0.2,2.91,0.17,127.04,2.95,137,11,1006.7,3.4,1075.2,5.5,1143.7,10.4,0.000049152,4096,370.24,23.7,2.15676E+37,2.21471E+36,,CDF
B02625,20240309,60378.197355956,60378.193377618,527.1,0.5,4.17,0.63,36.89,1.8,111.1,2.3,1011,1.3,1066.5,0.6,1122.1,1.3,0.000049152,4096,153.77,24.42,7.26407E+36,1.16329E+36,,Gaussian
B02626,20240309,60378.197409996,60378.193431660,528.9,0.3,1.69,0.25,41.67,2.04,150.3,3.8,1029.3,2.1,1104.5,0.9,1179.6,2.1,0.000049152,4096,70.31,11.13,4.49377E+36,7.20415E+35,,Gaussian
B02627,20240309,60378.197501082,60378.193522750,530.2,0.7,2.6,0.29,49.06,0.92,143.8,24.7,1325.5,9.3,1397.4,12.4,1469.3,22.9,0.000049152,4096,127.77,14.23,7.81257E+36,1.59931E+36,,CDF
B02628,20240309,60378.197763048,60378.193784725,529.4,0.2,1.9,0.07,193.59,17.82,200.3,4.5,1298.2,4,1398.4,2.3,1498.5,2.1,0.000049152,4096,367.65,36.39,3.13123E+37,3.17801E+36,,CDF
B02629,20240309,60378.197773575,60378.193795252,530.8,0.1,3.02,0.06,324.15,16.1,375.1,5.7,1008,3.4,1195.5,2.9,1383.1,4.6,0.000049152,4096,980.53,52.39,1.56392E+38,8.68671E+36,,CDF
B02630,20240309,60378.197776037,60378.193797714,529.5,0.1,2.92,0.18,104.79,2.32,155.2,15.6,1022.8,8.4,1100.4,7.8,1178,13.1,0.000049152,4096,305.76,20.18,2.01781E+37,2.42618E+36,,CDF
B02631,20240309,60378.197813370,60378.193835049,525.6,0.4,1.21,0.11,88.22,2.03,141.6,20.3,1301.2,9.9,1372,10.1,1442.8,17.7,0.000049152,4096,106.9,9.62,6.4367E+36,1.08945E+36,,CDF
B02632,20240309,60378.197813684,60378.193835363,530.6,0.2,3.82,0.33,49.77,2.46,261.3,10.2,1260.8,5.6,1391.5,2.3,1522.1,5.6,0.000049152,4096,190.03,18.92,2.11135E+37,2.25812E+36,,Gaussian
B02633,20240309,60378.197813848,60378.193835527,528.6,0.1,2.4,0.36,23.99,1.18,383.8,76.8,1112.7,54.3,1304.6,54.3,1496.5,54.3,0.000049152,4096,57.66,9.06,9.41041E+36,2.39372E+36,,Manual
