,BurstID,Date,MJD,MJD(bary@inf freq.),DM,DMError,width,widtherror,flux,fluxerror,bandwidth,bandwidtherror,Lower_Freq.(MHz),Lower_Freq_err(MHz),feakfrequency,feakfrequencyerror,Upper_Freq.(MHz),Upper_freq_err(MHz),Tsamp(s),Nchan,fluence_mJyms,fluenceerror,energy,energyerror,note,bestfit,saturation_tag
23,B00024,20240201,60341.188898662,60341.184694097,529.3,1.7,4.82,0.78,80.77,1.9,116.3,13.4,1003.5,7.5,1061.6,3.5,1119.8,7.5,4.9152e-05,4096,389.53,63.87,1.9262800000000002e+37,3.86017e+36,NA,Gaussian,False
24,B00025,20240201,60341.19153274,60341.187328112,528.8,0.3,1.55,0.22,75.02,4.15,102.3,9.9,1008.4,9.0,1059.6,5.0,1110.7,4.2,4.9152e-05,4096,116.36,17.98,5.06148e+36,9.229040000000001e+35,NA,CDF,False
25,B00026,20240201,60341.197224205,60341.193019441,527.6,0.3,1.04,0.13,65.15,4.01,168.7,24.1,1258.9,13.1,1343.2,5.2,1427.6,13.1,4.9152e-05,4096,67.45,9.67,4.83861e+36,9.79068e+35,NA,Gaussian,False
26,B00027,20240201,60341.19811027,60341.193905485,528.6,0.3,2.27,0.2,135.17,8.02,113.3,1.9,1004.2,1.1,1060.8,0.5,1117.5,1.1,4.9152e-05,4096,306.74,32.25,1.47775e+37,1.5734e+36,NA,Gaussian,False
27,B00028,20240201,60341.198954497,60341.194749691,530.4,0.5,3.65,0.2,198.95,5.46,121.3,6.6,1006.8,3.7,1067.5,1.6,1128.2,3.7,4.9152e-05,4096,726.88,44.39,3.7490999999999998e+37,3.06641e+36,NA,Gaussian,False
28,B00029,20240204,60344.242574555,60344.238303271,528.6,0.2,3.91,0.27,152.03,5.23,151.6,6.0,1005.3,3.1,1081.1,3.0,1156.8,5.1,4.9152e-05,4096,594.99,45.82,3.83543e+37,3.3206299999999996e+36,NA,CDF,False
29,B00030,20240204,60344.261549261,60344.257277605,527.7,NaN ,1.81,0.27,88.4,5.05,123.7,4.0,981.9,2.2,1043.7,0.9,1105.5,2.2,4.9152e-05,4096,159.7,25.73,8.39998e+36,1.38049e+36,NA,Gaussian,False
30,B00031,20240209,60349.15748811,60349.153141578,529.0,0.3,1.94,0.09,467.86,20.92,90.2,14.3,1002.6,1.1,1047.7,7.1,1092.8,14.2,4.9152e-05,4096,908.53,59.01,3.4845700000000003e+37,5.96993e+36,NA,CDF,False
31,B00032,20240209,60349.157838126,60349.15349159,528.5,0.1,4.91,0.16,312.59,25.96,237.6,9.4,1002.6,1.1,1121.4,4.7,1240.2,9.3,4.9152e-05,4096,1536.29,136.49,1.5521099999999999e+38,1.5094800000000001e+37,NA,CDF,False
32,B00033,20240209,60349.158960717,60349.154614169,528.8,0.4,2.46,0.29,89.37,7.49,208.6,5.4,981.0,2.9,1085.3,1.1,1189.6,2.9,4.9152e-05,4096,220.12,31.76,1.9524500000000001e+37,2.86176e+36,NA,Gaussian,False
33,B00034,20240209,60349.168853144,60349.164506489,531.2,0.2,5.13,0.33,107.85,5.5,237.7,14.5,1056.2,7.9,1175.1,3.0,1294.0,7.9,4.9152e-05,4096,552.82,45.36,5.58753e+37,5.71312e+36,NA,Gaussian,False
34,B00035,20240209,60349.170105328,60349.16575866,528.7,0.2,4.96,0.5,88.92,2.79,208.8,18.4,1004.8,11.7,1109.2,9.2,1213.6,14.2,4.9152e-05,4096,440.84,46.89,3.9139300000000003e+37,5.40643e+36,NA,CDF,False
35,B00036,20240209,60349.170243085,60349.165896415,528.9,0.1,2.84,0.12,163.81,8.58,318.5,8.5,1081.6,7.2,1240.9,4.2,1400.1,4.4,4.9152e-05,4096,465.65,31.75,6.306299999999999e+37,4.61747e+36,NA,CDF,False
36,B00037,20240213,60353.217483491,60353.213105141,529.1,0.2,6.26,0.82,98.59,2.06,136.4,7.6,1002.5,0.9,1070.7,3.8,1138.9,7.5,4.9152e-05,4096,617.34,82.29,3.5804999999999996e+37,5.1727099999999995e+36,NA,CDF,False
37,B00038,20240213,60353.218231585,60353.213853231,529.1,0.2,4.3,0.22,183.86,3.8,168.9,16.5,1002.5,0.9,1087.0,8.3,1171.4,16.5,4.9152e-05,4096,790.82,43.0,5.67949e+37,6.35001e+36,NA,CDF,False
38,B00039,20240213,60353.218811897,60353.214433541,529.1,0.1,1.62,0.28,75.39,2.97,100.8,6.6,998.8,3.6,1049.2,1.5,1099.6,3.6,4.9152e-05,4096,122.13,21.97,5.23469e+36,1.00217e+36,NA,Gaussian,False
39,B00040,20240213,60353.218812625,60353.214434269,529.1,0.1,4.44,0.1,281.18,12.63,326.3,6.2,1006.9,3.0,1170.1,3.0,1333.2,5.4,4.9152e-05,4096,1249.22,62.76,1.73324e+38,9.30949e+36,NA,CDF,False
40,B00041,20240213,60353.22005065,60353.215672288,529.1,0.1,2.81,0.05,1098.96,36.35,416.9,8.1,1003.6,1.9,1212.0,4.0,1420.5,7.8,4.9152e-05,4096,3091.74,116.51,5.48074e+38,2.32366e+37,NA,CDF,False
41,B00042,20240213,60353.221422933,60353.217044565,529.8,0.1,5.1,0.15,301.9,8.96,339.7,6.9,1002.5,0.9,1172.3,3.4,1342.2,6.8,4.9152e-05,4096,1540.13,64.31,2.2246199999999998e+38,1.03298e+37,NA,CDF,False
42,B00043,20240213,60353.222541373,60353.218162999,529.6,0.3,2.59,0.45,41.23,2.18,191.5,9.2,994.5,5.1,1090.3,2.1,1186.0,5.1,4.9152e-05,4096,106.71,19.34,8.68947e+36,1.6291499999999998e+36,NA,Gaussian,False
43,B00044,20240213,60353.222942308,60353.218563933,531.4,0.2,3.64,0.21,87.48,4.06,383.4,5.8,1115.0,5.6,1306.7,2.9,1498.4,1.7,4.9152e-05,4096,318.26,23.82,5.18841e+37,3.96154e+36,NA,CDF,False
44,B00045,20240213,60353.224609385,60353.220231002,527.9,0.1,1.21,0.05,436.16,15.17,350.3,10.1,1003.1,1.4,1178.2,5.0,1353.4,10.0,4.9152e-05,4096,526.03,29.03,7.83535e+37,4.8780699999999996e+36,NA,CDF,False
45,B00046,20240213,60353.227022798,60353.222644404,528.3,0.1,2.93,0.17,110.96,2.4,218.4,11.4,1004.2,6.2,1113.4,2.5,1222.6,6.2,4.9152e-05,4096,324.56,20.43,3.01408e+37,2.4648e+36,NA,Gaussian,False
46,B00047,20240213,60353.227841534,60353.223463136,530.8,0.8,1.78,0.28,55.83,2.35,198.4,6.7,987.4,3.7,1086.6,1.5,1185.8,3.7,4.9152e-05,4096,99.3,16.35,8.377379999999999e+36,1.40832e+36,NA,Gaussian,False
47,B00048,20240213,60353.228472864,60353.224094463,529.0,0.4,4.46,0.47,138.82,3.6,66.2,7.2,1002.7,1.2,1035.8,3.6,1068.8,7.1,4.9152e-05,4096,618.55,66.56,1.74116e+37,2.664e+36,NA,CDF,False
48,B00049,20240213,60353.232474842,60353.228096422,529.9,0.1,2.55,0.05,796.49,25.83,351.8,4.9,1014.3,2.9,1190.2,2.5,1366.1,4.0,4.9152e-05,4096,2027.65,77.95,3.03314e+38,1.24026e+37,NA,CDF,False
49,B00050,20240213,60353.23540777,60353.231029336,529.1,0.1,2.61,0.08,301.5,6.49,213.5,8.9,1008.9,4.8,1115.7,1.9,1222.4,4.8,4.9152e-05,4096,788.26,28.92,7.15602e+37,3.97378e+36,NA,Gaussian,False
50,B00051,20240215,60355.132294794,60355.127910974,527.4,0.2,2.35,0.5,32.79,0.76,188.3,17.7,979.1,9.6,1073.2,3.8,1167.4,9.6,4.9152e-05,4096,77.14,16.65,6.17654e+36,1.45412e+36,NA,Gaussian,False
51,B00052,20240215,60355.133135738,60355.128751917,527.7,NaN ,1.53,0.21,43.06,2.65,161.8,4.2,1017.4,2.3,1098.3,1.0,1179.2,2.3,4.9152e-05,4096,65.97,9.75,4.53859e+36,6.80752e+35,NA,Gaussian,False
52,B00053,20240215,60355.134103893,60355.129720071,528.6,0.1,3.23,0.59,39.17,1.05,224.5,19.7,1056.2,11.5,1168.5,9.8,1280.7,16.0,4.9152e-05,4096,126.61,23.29,1.20857e+37,2.46341e+36,NA,CDF,False
53,B00054,20240215,60355.135134392,60355.130750569,526.0,0.3,1.09,0.08,286.5,6.95,102.0,7.5,1002.6,1.0,1053.5,3.7,1104.5,7.4,4.9152e-05,4096,310.9,23.48,1.34841e+37,1.42141e+36,NA,CDF,False
54,B00055,20240215,60355.135389845,60355.131006022,528.1,0.1,3.76,0.1,253.79,9.31,321.4,12.1,1002.7,1.0,1163.4,6.1,1324.1,12.1,4.9152e-05,4096,955.23,42.97,1.30544e+38,7.65794e+36,NA,CDF,False
55,B00056,20240215,60355.135587377,60355.131203554,528.5,0.1,2.93,0.17,107.17,2.59,269.2,15.6,1002.6,1.0,1137.2,7.8,1271.7,15.5,4.9152e-05,4096,313.89,20.14,3.59294e+37,3.10614e+36,NA,CDF,False
56,B00057,20240215,60355.136487428,60355.132103605,530.6,0.3,3.46,0.47,54.16,1.34,241.4,10.5,1033.0,6.0,1153.7,5.2,1274.4,8.6,4.9152e-05,4096,187.54,25.85,1.92506e+37,2.78261e+36,NA,CDF,False
57,B00058,20240215,60355.139921318,60355.135537492,528.5,0.2,1.39,0.15,62.94,3.82,207.1,7.5,977.1,4.1,1080.7,1.6,1184.2,4.1,4.9152e-05,4096,87.46,10.65,7.701839999999999e+36,9.784230000000001e+35,NA,Gaussian,False
58,B00059,20240215,60355.140748701,60355.136364874,528.5,0.1,2.92,0.1,319.17,9.67,174.9,9.9,1002.5,1.0,1090.0,4.9,1177.4,9.8,4.9152e-05,4096,932.23,41.6,6.932940000000001e+37,4.9972399999999996e+36,NA,CDF,False
59,B00060,20240215,60355.14113038,60355.136746553,528.4,0.1,1.85,0.09,142.27,5.86,309.4,11.6,1008.0,3.7,1162.7,5.8,1317.4,11.0,4.9152e-05,4096,263.25,16.44,3.46332e+37,2.5230299999999998e+36,NA,CDF,False
60,B00061,20240215,60355.143427745,60355.139043916,530.8,0.2,2.43,0.12,84.25,5.92,361.5,28.5,1128.0,6.4,1308.7,14.3,1489.5,27.8,4.9152e-05,4096,204.43,17.71,3.14243e+37,3.6813e+36,NA,CDF,False
61,B00062,20240215,60355.144552092,60355.140168262,528.6,0.2,2.77,0.36,50.72,1.43,205.3,24.5,959.2,13.4,1061.8,5.4,1164.5,13.4,4.9152e-05,4096,140.43,18.71,1.22593e+37,2.19245e+36,NA,Gaussian,False
62,B00063,20240215,60355.144938445,60355.140554615,528.4,0.1,2.45,0.11,252.02,6.57,117.4,5.0,1002.5,0.9,1061.3,2.5,1120.0,4.9,4.9152e-05,4096,617.92,32.15,3.08463e+37,2.0739399999999998e+36,NA,CDF,False
63,B00064,20240215,60355.14692734,60355.142543509,528.3,0.1,3.06,0.06,335.5,21.88,282.4,7.3,1010.9,3.7,1152.1,3.5,1293.3,6.3,4.9152e-05,4096,1025.83,69.9,1.2318199999999999e+38,8.97705e+36,NA,CDF,False
64,B00065,20240215,60355.148678526,60355.144294693,528.7,0.1,1.54,0.06,207.01,9.86,277.0,19.2,1222.3,19.2,1360.8,9.6,1499.3,1.0,4.9152e-05,4096,318.04,19.47,3.74594e+37,3.4642199999999996e+36,NA,CDF,False
65,B00066,20240215,60355.149271558,60355.144887725,528.7,0.1,1.84,0.12,72.21,4.88,257.2,19.4,1038.6,15.9,1167.2,9.6,1295.8,11.2,4.9152e-05,4096,133.0,12.39,1.45456e+37,1.7435e+36,NA,CDF,False
66,B00067,20240215,60355.15023324,60355.145849406,528.6,0.1,3.5,0.06,530.05,20.84,327.1,13.9,962.6,7.4,1126.2,2.7,1289.8,7.4,4.9152e-05,4096,1852.8,78.48,2.5769899999999997e+38,1.5462200000000002e+37,NA,Gaussian,False
67,B00068,20240215,60355.150420368,60355.146036534,529.0,0.1,3.11,0.18,70.63,2.88,320.7,24.8,977.1,13.3,1137.5,4.8,1297.8,13.3,4.9152e-05,4096,219.78,15.7,2.9970300000000003e+37,3.1555000000000003e+36,NA,Gaussian,False
68,B00069,20240215,60355.150548532,60355.146164698,528.6,0.1,2.75,0.07,220.42,9.13,363.1,3.9,1003.8,1.9,1185.3,2.0,1366.9,3.4,4.9152e-05,4096,606.24,29.61,9.36e+37,4.6806000000000004e+36,NA,CDF,False
69,B00070,20240215,60355.151025138,60355.146641303,528.5,0.1,3.14,0.05,641.04,42.88,496.3,1.7,1003.0,1.4,1251.1,0.9,1499.2,1.0,4.9152e-05,4096,2010.61,138.54,4.2430399999999995e+38,2.92719e+37,NA,CDF,False
70,B00071,20240215,60355.151417161,60355.147033326,528.7,0.2,1.37,0.1,114.82,2.5,142.7,12.3,1008.0,4.2,1079.3,6.2,1150.7,11.6,4.9152e-05,4096,157.78,12.41,9.57366e+36,1.11707e+36,NA,CDF,False
71,B00072,20240221,60361.181564816,60361.177203823,530.2,0.9,2.75,0.27,54.22,2.36,167.9,4.4,1022.8,2.5,1106.7,1.1,1190.7,2.5,4.9152e-05,4096,149.15,16.03,1.0648600000000002e+37,1.1778899999999999e+36,NA,Gaussian,False
