mjd_day,unique_hours
60338,4.7346668629324995
60339,7.126805041276384
60340,9.469060658826493
60342,9.537964942341205
60343,6.692601370392367
60344,9.546696111909114
60346,4.624524012906477
60347,8.197974941285793
60348,6.057234219624661
60349,7.717363692296203
60350,9.033332168182824
60351,9.656912781705614
60352,9.395188530965243
60353,4.302346672397107
60354,7.8320947351749055
60355,8.715717152750585
60356,9.5449251839309
60357,9.522376916371286
60358,9.153365672507789
60359,7.0386120326584205
60360,8.549260407686234
60361,8.307775412220508
60362,1.040808958292473
60363,1.11007401131792
60364,9.894951886497438
60365,9.85185476479819
60366,9.774150651006494
60367,7.967395991552621
60368,8.107277971983422
60369,9.123782359063625
60370,9.446238950709812
60371,9.545711616170593
60372,7.144549277261831
60373,9.815443358675111
60374,9.555652698967606
60375,10.525920460524503
60376,10.609135646140203
60377,10.609108461183496
60378,10.6101075206534
60379,10.559236050175969
60380,10.597172170411795
60381,10.58235423755832
60382,10.605979690037202
60383,10.574697691365145
60384,10.610514329164289
60385,10.608622037863825
60386,10.653311764122918
60387,10.593392442155164
60388,10.68943520821631
60389,10.60908904275857
60390,10.653254481672775
60391,10.610274516628124
60392,10.621444763091858
60393,10.567705243360251
60394,10.691176730382722
60395,10.785055197193287
60396,10.695442658092361
60397,10.266496960655786
60398,10.59200051362859
60399,7.057068912370596
60400,10.683008796419017
60401,10.1340889694402
60402,8.64493143215077
60403,6.275076854391955
60404,4.990874176437501
60406,5.601109484850895
60407,6.122558562958147
60408,6.97141093283426
60409,4.556663000083063
60411,4.769063458079472
60412,6.03361407428747
60413,4.596365903620608
60414,5.97796964115696
60417,4.548885718162637
60419,4.548885718162637
60420,1.0409471978782676
60423,6.633901103690732
60424,10.397236953140236
60425,10.603012156672776
60426,10.615300884121098
60427,8.47216476208996
60428,10.430885239737108
60429,3.0491327904746868
60430,10.351526211190503
60431,10.697147095226683
60432,9.960016356257256
60433,10.48762413446093
60434,10.651272679679096
60435,10.645610556006432
60436,10.32846000418067
60437,10.667957846831996
60438,7.095723389997147
60439,10.592383673996665
60440,10.45052796753589
60441,10.313585403899197
60442,10.798827898688614
60443,10.688168178603519
60444,10.6709453179501
60445,10.695739285089076
60446,10.69933551340364
60447,10.628593282657675
60448,10.449890524498187
60449,10.823381099675316
60450,10.77949793357402
60451,10.672496920684353
60452,10.33900659828214
60453,10.74107687920332
60454,10.684800387709402
60455,9.450380798487458
60456,10.771646575885825
60457,10.879684062791057
60458,10.739986462751403
60459,8.863065613084473
60460,8.58056200464489
60461,10.781580305832904
60462,9.667639710532967
60463,7.46425966284005
60464,4.751041309267748
60465,10.72894934884971
60466,10.692278387839906
60467,10.732074681145605
60468,9.353504209255334
60469,10.739816646615509
60470,10.22413128853077
60471,9.016459265956655
60472,5.723534164018929
60473,4.963727925438434
60474,9.656247076462023
60475,8.786876312806271
60476,3.204348432656843
60477,8.63619363179896
60478,6.5012993591954
60479,6.553201929666102
60480,8.028561644023284
60481,6.012545333476737
60482,6.627084195089992
60483,6.570314107113518
60484,8.323039619950578
60485,8.370256034599151
60486,5.675898524466902
60490,0.8905420780065469
60493,1.041085437987931
60497,0.8532172784325667
60504,4.9808819919708185
60505,0.9282815979095176
60506,5.262545350939035
60507,1.4951311291661114
60509,4.979716906207614
60510,0.8532172782579437
60511,4.978915911284275
60512,4.980372266261838
60515,5.236508835107088
60523,0.8532172786071897
60533,0.4044444439932704
60534,0.4484963547438383
60540,0.5590425590635277
60541,2.130990519770421
60542,2.1174900043406524
60547,0.8908185589243658
60556,1.6460506275761873
60557,2.5820524723967537
60558,1.9312310404493473
60559,5.289922381751239
60560,3.235443804936949
60561,2.1261470225290395
60562,5.323224888474215
60563,5.903135742293671
60564,2.9866913786390796
60565,2.3886129063321277
60566,5.0799794139456935
60567,2.2417318575899117
60568,2.2420231290743686
60569,2.2414405868039466
