,scan_name,scan_no,Telescope,Source_Name,Obs_Date_String,MJD_start_time,RA_J2000,RA_J2000_(deg),Dec_J2000,Dec_J2000_(deg),Tracking?,Azimuth_(deg),Zenith_Ang_(deg),Number_of_polns,Sample_time_(us),Central_freq_(MHz),Low_channel_(MHz),High_channel_(MHz),Channel_width_(MHz),Number_of_channels,Total_Bandwidth_(MHz),Beam,Beam_FWHM_(deg),Spectra_per_subint,Spectra_per_file,Time_per_subint_(sec),Time_per_file_(sec),bits_per_sample,bytes_per_spectra,samples_per_spectra,bytes_per_subint,samples_per_subint,zero_offset,Invert_the_band?,bytes_in_file_header,MJD_end_time,complete_filename
276,dwi_FRB20240114A_P_Band_2024_02_06_11_07_52_277,no0001,dw,FRB20240114A,2024-02-06T10:07:53,60346.42214120371,21:27:40.8028,321.920011508177,04:21:00.3004,4.35008344935765,True,-35.34296,53.65003,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3125000,0.4608,600.0,32,640,160,1536000,384000,0,False,327,60346.42908564815,FRB20240114A_P_Band_2024_02_06_11_07_52.txt
5,dwi_FRB20240114A_L1_Band_2024_02_06_11_08_49_6,no0001,dw,FRB20240114A,2024-02-06T10:08:50.0001,60346.422800927474,21:27:40.8028,321.920011508177,04:21:00.2005,4.35005570171415,True,-35.06532,53.56711,2_(summed),198.4,1250.078125,1225.15625,1400,0.15625,320,50,1_of_1,0.165,2400,2791471,0.47616,553.8278464,32,1280,320,3072000,768000,0,False,327,60346.42921097199,FRB20240114A_L1_Band_2024_02_06_11_08_49.txt
277,dwi_FRB20240114A_P_Band_2024_02_06_11_17_53_278,no0001,dw,FRB20240114A,2024-02-06T10:17:54,60346.42909722222,21:27:40.6979,321.919574376071,04:21:00.0007,4.35000020642714,True,-32.39442,52.80482,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3125000,0.4608,600.0,32,640,160,1536000,384000,0,False,327,60346.43604166667,FRB20240114A_P_Band_2024_02_06_11_17_53.txt
278,dwi_FRB20240114A_P_Band_2024_02_06_11_27_54_279,no0001,dw,FRB20240114A,2024-02-06T10:27:55,60346.436053240745,21:27:40.9011,321.920421319528,04:21:00.7000,4.35019443993166,True,-29.38582,52.02619,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3125000,0.4608,600.0,32,640,160,1536000,384000,0,False,327,60346.44299768519,FRB20240114A_P_Band_2024_02_06_11_27_54.txt
279,dwi_FRB20240114A_P_Band_2024_02_06_11_37_55_280,no0001,dw,FRB20240114A,2024-02-06T10:37:56,60346.44300925927,21:27:40.6979,321.919574376071,04:21:00.0007,4.35000020642714,True,-26.31745,51.31769,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3125000,0.4608,600.0,32,640,160,1536000,384000,0,False,327,60346.44995370371,FRB20240114A_P_Band_2024_02_06_11_37_55.txt
280,dwi_FRB20240114A_P_Band_2024_02_06_11_47_56_281,no0001,dw,FRB20240114A,2024-02-06T10:47:57,60346.44996527778,21:27:40.9011,321.920421319528,04:21:00.3004,4.35008344935765,True,-23.19602,50.68252,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3125000,0.4608,600.0,32,640,160,1536000,384000,0,False,327,60346.45690972223,FRB20240114A_P_Band_2024_02_06_11_47_56.txt
281,dwi_FRB20240114A_P_Band_2024_02_06_11_57_57_282,no0001,dw,FRB20240114A,2024-02-06T10:57:58,60346.456921296296,21:27:40.8028,321.920011508177,04:21:00.0007,4.35000020642714,True,-20.02152,50.12399,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3125000,0.4608,600.0,32,640,160,1536000,384000,0,False,327,60346.46386574074,FRB20240114A_P_Band_2024_02_06_11_57_57.txt
282,dwi_FRB20240114A_P_Band_2024_02_06_12_07_58_283,no0001,dw,FRB20240114A,2024-02-06T11:07:59,60346.46387731482,21:27:40.8028,321.920011508177,04:21:00.3004,4.35008344935765,True,-16.80064,49.64489,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3125000,0.4608,600.0,32,640,160,1536000,384000,0,False,327,60346.47082175926,FRB20240114A_P_Band_2024_02_06_12_07_58.txt
283,dwi_FRB20240114A_P_Band_2024_02_06_12_17_59_284,no0001,dw,FRB20240114A,2024-02-06T11:18:05.86733e-07,60346.47083333334,21:27:40.6979,321.919574376071,04:21:00.0007,4.35000020642714,True,-13.53805,49.24806,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3125000,0.4608,600.0,32,640,160,1536000,384000,0,False,327,60346.477777777785,FRB20240114A_P_Band_2024_02_06_12_17_59.txt
284,dwi_FRB20240114A_P_Band_2024_02_06_12_28_00_285,no0001,dw,FRB20240114A,2024-02-06T11:28:01,60346.477789351855,21:27:40.8028,321.920011508177,04:21:00.2005,4.35005570171415,True,-10.24421,48.93543,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3125000,0.4608,600.0,32,640,160,1536000,384000,0,False,327,60346.4847337963,FRB20240114A_P_Band_2024_02_06_12_28_00.txt
285,dwi_FRB20240114A_P_Band_2024_02_06_12_38_01_286,no0001,dw,FRB20240114A,2024-02-06T11:38:02,60346.48474537037,21:27:40.6979,321.919574376071,04:21:00.0007,4.35000020642714,True,-6.922404,48.70909,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3125000,0.4608,600.0,32,640,160,1536000,384000,0,False,327,60346.491689814815,FRB20240114A_P_Band_2024_02_06_12_38_01.txt
286,dwi_FRB20240114A_P_Band_2024_02_06_12_48_02_287,no0001,dw,FRB20240114A,2024-02-06T11:48:03,60346.49170138889,21:27:40.5995,321.91916456472,04:21:00.0007,4.35000020642714,True,-3.583274,48.57018,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3125000,0.4608,600.0,32,640,160,1536000,384000,0,False,327,60346.49864583334,FRB20240114A_P_Band_2024_02_06_12_48_02.txt
287,dwi_FRB20240114A_P_Band_2024_02_06_12_58_03_288,no0001,dw,FRB20240114A,2024-02-06T11:58:04,60346.498657407414,21:27:40.5995,321.91916456472,04:21:00.2005,4.35005570171415,True,-0.2351976,48.51957,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,2419408,0.4608,464.526336,32,640,160,1536000,384000,0,False,327,60346.504033869634,FRB20240114A_P_Band_2024_02_06_12_58_03.txt
288,dwi_FRB20240114A_P_Band_2024_02_09_09_50_14_289,no0001,dw,FRB20240114A,2024-02-09T08:50:26,60349.368356481486,21:27:40.9011,321.920421319528,04:21:00.7000,4.35019443993166,True,-53.12568,60.58246,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3125000,0.4608,600.0,32,640,160,1536000,384000,0,False,327,60349.37530092593,FRB20240114A_P_Band_2024_02_09_09_50_14.txt
289,dwi_FRB20240114A_P_Band_2024_02_09_10_00_26_290,no0001,dw,FRB20240114A,2024-02-09T09:00:27,60349.37531250001,21:27:40.8028,321.920011508177,04:21:00.4003,4.35011119700116,True,-50.58049,59.39023,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3125000,0.4608,600.0,32,640,160,1536000,384000,0,False,327,60349.38225694445,FRB20240114A_P_Band_2024_02_09_10_00_26.txt
290,dwi_FRB20240114A_P_Band_2024_02_09_10_10_27_291,no0001,dw,FRB20240114A,2024-02-09T09:10:28,60349.38226851852,21:27:40.9011,321.920421319528,04:21:00.7000,4.35019443993166,True,-47.97689,58.24117,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3125000,0.4608,600.0,32,640,160,1536000,384000,0,False,327,60349.38921296297,FRB20240114A_P_Band_2024_02_09_10_10_27.txt
291,dwi_FRB20240114A_P_Band_2024_02_09_10_20_28_292,no0001,dw,FRB20240114A,2024-02-09T09:20:29,60349.38922453704,21:27:40.8028,321.920011508177,04:21:00.4003,4.35011119700116,True,-45.31336,57.13879,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3125000,0.4608,600.0,32,640,160,1536000,384000,0,False,327,60349.39616898148,FRB20240114A_P_Band_2024_02_09_10_20_28.txt
292,dwi_FRB20240114A_P_Band_2024_02_09_10_30_29_293,no0001,dw,FRB20240114A,2024-02-09T09:30:30,60349.39618055556,21:27:40.8028,321.920011508177,04:21:00.0007,4.35000020642714,True,-42.58814,56.08637,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3125000,0.4608,600.0,32,640,160,1536000,384000,0,False,327,60349.403125000004,FRB20240114A_P_Band_2024_02_09_10_30_29.txt
