,scan_name,scan_no,Telescope,Source_Name,Obs_Date_String,MJD_start_time,RA_J2000,RA_J2000_(deg),Dec_J2000,Dec_J2000_(deg),Tracking?,Azimuth_(deg),Zenith_Ang_(deg),Number_of_polns,Sample_time_(us),Central_freq_(MHz),Low_channel_(MHz),High_channel_(MHz),Channel_width_(MHz),Number_of_channels,Total_Bandwidth_(MHz),Beam,Beam_FWHM_(deg),Spectra_per_subint,Spectra_per_file,Time_per_subint_(sec),Time_per_file_(sec),bits_per_sample,bytes_per_spectra,samples_per_spectra,bytes_per_subint,samples_per_subint,zero_offset,Invert_the_band?,bytes_in_file_header,MJD_end_time,complete_filename
13,dwi_FRB20240114A_L1_Band_2024_02_09_15_22_41_14,no0001,dw,FRB20240114A,2024-02-09T14:22:52,60349.59921296319,21:27:40.8028,321.920011508177,04:21:00.0007,4.35000020642714,True,47.81292,58.17128,2_(summed),198.4,1250.15625,1200.3125,1400,0.3125,320,100,1_of_1,0.165,2400,3024193,0.47616,599.9998912,32,1280,320,3072000,768000,0,False,327,60349.60615740638,FRB20240114A_L1_Band_2024_02_09_15_22_41.txt
310,dwi_FRB20240114A_P_Band_2024_02_09_15_22_41_311,no0001,dw,FRB20240114A,2024-02-09T14:22:53,60349.59922453704,21:27:40.8028,321.920011508177,04:21:00.2005,4.35005570171415,True,47.81687,58.17313,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3125000,0.4608,600.0,32,640,160,1536000,384000,0,False,327,60349.60616898149,FRB20240114A_P_Band_2024_02_09_15_22_41.txt
14,dwi_FRB20240114A_L1_Band_2024_02_09_15_32_52_15,no0001,dw,FRB20240114A,2024-02-09T14:32:53,60349.60616898186,21:27:40.8028,321.920011508177,04:21:00.0007,4.35000020642714,True,50.41991,59.31755,2_(summed),198.4,1250.15625,1200.3125,1400,0.3125,320,100,1_of_1,0.165,2400,3024193,0.47616,599.9998912,32,1280,320,3072000,768000,0,False,327,60349.613113425046,FRB20240114A_L1_Band_2024_02_09_15_32_52.txt
311,dwi_FRB20240114A_P_Band_2024_02_09_15_32_53_312,no0001,dw,FRB20240114A,2024-02-09T14:32:54,60349.60618055556,21:27:40.8028,321.920011508177,04:21:00.0007,4.35000020642714,True,50.42413,59.31948,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3125000,0.4608,600.0,32,640,160,1536000,384000,0,False,327,60349.613125,FRB20240114A_P_Band_2024_02_09_15_32_53.txt
15,dwi_FRB20240114A_L1_Band_2024_02_09_15_42_53_16,no0001,dw,FRB20240114A,2024-02-09T14:42:54,60349.61312500037,21:27:40.9011,321.920421319528,04:21:00.0007,4.35000020642714,True,52.9687,60.50713,2_(summed),198.4,1250.15625,1200.3125,1400,0.3125,320,100,1_of_1,0.165,2400,3024193,0.47616,599.9998912,32,1280,320,3072000,768000,0,False,327,60349.620069443554,FRB20240114A_L1_Band_2024_02_09_15_42_53.txt
312,dwi_FRB20240114A_P_Band_2024_02_09_15_42_54_313,no0001,dw,FRB20240114A,2024-02-09T14:42:55,60349.61313657407,21:27:40.8028,321.920011508177,04:21:00.0007,4.35000020642714,True,52.97302,60.50916,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3125000,0.4608,600.0,32,640,160,1536000,384000,0,False,327,60349.62008101852,FRB20240114A_P_Band_2024_02_09_15_42_54.txt
16,dwi_FRB20240114A_L1_Band_2024_02_09_15_52_54_17,no0001,dw,FRB20240114A,2024-02-09T14:52:55,60349.62008101884,21:27:40.8028,321.920011508177,04:21:00.1006,4.35002795407065,True,55.46189,61.73684,2_(summed),198.4,1250.15625,1200.3125,1400,0.3125,320,100,1_of_1,0.165,2400,3024193,0.47616,599.9998912,32,1280,320,3072000,768000,0,False,327,60349.627025462025,FRB20240114A_L1_Band_2024_02_09_15_52_54.txt
313,dwi_FRB20240114A_P_Band_2024_02_09_15_52_55_314,no0001,dw,FRB20240114A,2024-02-09T14:52:56,60349.620092592595,21:27:40.8028,321.920011508177,04:21:00.2005,4.35005570171415,True,55.46614,61.73892,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3125000,0.4608,600.0,32,640,160,1536000,384000,0,False,327,60349.62703703704,FRB20240114A_P_Band_2024_02_09_15_52_55.txt
17,dwi_FRB20240114A_L1_Band_2024_02_09_16_02_55_18,no0001,dw,FRB20240114A,2024-02-09T15:02:56,60349.62703703728,21:27:40.8028,321.920011508177,04:21:00.0007,4.35000020642714,True,57.90164,63.00342,2_(summed),198.4,1250.15625,1200.3125,1400,0.3125,320,100,1_of_1,0.165,2400,3024193,0.47616,599.9998912,32,1280,320,3072000,768000,0,False,327,60349.63398148047,FRB20240114A_L1_Band_2024_02_09_16_02_55.txt
314,dwi_FRB20240114A_P_Band_2024_02_09_16_02_56_315,no0001,dw,FRB20240114A,2024-02-09T15:02:57,60349.62704861112,21:27:40.8028,321.920011508177,04:21:00.1006,4.35002795407065,True,57.90567,63.00557,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3125000,0.4608,600.0,32,640,160,1536000,384000,0,False,327,60349.63399305556,FRB20240114A_P_Band_2024_02_09_16_02_56.txt
18,dwi_FRB20240114A_L1_Band_2024_02_09_16_12_56_19,no0001,dw,FRB20240114A,2024-02-09T15:12:57,60349.63399305611,21:27:40.8028,321.920011508177,04:21:00.0007,4.35000020642714,True,60.29064,64.30381,2_(summed),198.4,1250.15625,1200.3125,1400,0.3125,320,100,1_of_1,0.165,2400,3024193,0.47616,599.9998912,32,1280,320,3072000,768000,0,False,327,60349.640937499295,FRB20240114A_L1_Band_2024_02_09_16_12_56.txt
315,dwi_FRB20240114A_P_Band_2024_02_09_16_12_57_316,no0001,dw,FRB20240114A,2024-02-09T15:12:58,60349.63400462963,21:27:40.8028,321.920011508177,04:21:00.0007,4.35000020642714,True,60.2947,64.30601,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3125000,0.4608,600.0,32,640,160,1536000,384000,0,False,327,60349.64094907408,FRB20240114A_P_Band_2024_02_09_16_12_57.txt
19,dwi_FRB20240114A_L1_Band_2024_02_09_16_22_57_20,no0001,dw,FRB20240114A,2024-02-09T15:22:58,60349.640949074594,21:27:40.8028,321.920011508177,04:21:00.1006,4.35002795407065,True,62.63208,65.63498,2_(summed),198.4,1250.15625,1200.3125,1400,0.3125,320,100,1_of_1,0.165,2400,3024193,0.47616,599.9998912,32,1280,320,3072000,768000,0,False,327,60349.64789351778,FRB20240114A_L1_Band_2024_02_09_16_22_57.txt
316,dwi_FRB20240114A_P_Band_2024_02_09_16_22_58_317,no0001,dw,FRB20240114A,2024-02-09T15:22:59,60349.64096064815,21:27:40.8028,321.920011508177,04:21:00.1006,4.35002795407065,True,62.63594,65.63722,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3125000,0.4608,600.0,32,640,160,1536000,384000,0,False,327,60349.64790509259,FRB20240114A_P_Band_2024_02_09_16_22_58.txt
20,dwi_FRB20240114A_L1_Band_2024_02_09_16_32_58_21,no0001,dw,FRB20240114A,2024-02-09T15:32:59.0001,60349.6479050936,21:27:40.8028,321.920011508177,04:21:00.1006,4.35002795407065,True,64.92872,66.99419,2_(summed),198.4,1250.15625,1200.3125,1400,0.3125,320,100,1_of_1,0.165,2400,3024193,0.47616,599.9998912,32,1280,320,3072000,768000,0,False,327,60349.65484953679,FRB20240114A_L1_Band_2024_02_09_16_32_58.txt
317,dwi_FRB20240114A_P_Band_2024_02_09_16_32_59_318,no0001,dw,FRB20240114A,2024-02-09T15:33:01.67638e-07,60349.64791666667,21:27:40.8028,321.920011508177,04:21:00.0007,4.35000020642714,True,64.93272,66.99648,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3125000,0.4608,600.0,32,640,160,1536000,384000,0,False,327,60349.654861111114,FRB20240114A_P_Band_2024_02_09_16_32_59.txt
21,dwi_FRB20240114A_L1_Band_2024_02_09_16_42_59_22,no0001,dw,FRB20240114A,2024-02-09T15:43:09.64198e-05,60349.65486111223,21:27:40.8028,321.920011508177,04:21:00.4003,4.35011119700116,True,67.18387,68.37859,2_(summed),198.4,1250.15625,1200.3125,1400,0.3125,320,100,1_of_1,0.165,2400,3024193,0.47616,599.9998912,32,1280,320,3072000,768000,0,False,327,60349.66180555541,FRB20240114A_L1_Band_2024_02_09_16_42_59.txt
318,dwi_FRB20240114A_P_Band_2024_02_09_16_43_00_319,no0001,dw,FRB20240114A,2024-02-09T15:43:01,60349.65487268519,21:27:40.8028,321.920011508177,04:21:00.0007,4.35000020642714,True,67.1877,68.38091,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3125000,0.4608,600.0,32,640,160,1536000,384000,0,False,327,60349.661817129636,FRB20240114A_P_Band_2024_02_09_16_43_00.txt
22,dwi_FRB20240114A_L1_Band_2024_02_09_16_53_00_23,no0001,dw,FRB20240114A,2024-02-09T15:53:01.00007,60349.661817130414,21:27:40.8028,321.920011508177,04:21:00.0007,4.35000020642714,True,69.40051,69.78558,2_(summed),198.4,1250.15625,1200.3125,1400,0.3125,320,100,1_of_1,0.165,2400,3024193,0.47616,599.9998912,32,1280,320,3072000,768000,0,False,327,60349.6687615736,FRB20240114A_L1_Band_2024_02_09_16_53_00.txt
319,dwi_FRB20240114A_P_Band_2024_02_09_16_53_01_320,no0001,dw,FRB20240114A,2024-02-09T15:53:02,60349.661828703705,21:27:40.8028,321.920011508177,04:21:00.2005,4.35005570171415,True,69.40413,69.78793,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3125000,0.4608,600.0,32,640,160,1536000,384000,0,False,327,60349.66877314815,FRB20240114A_P_Band_2024_02_09_16_53_01.txt
23,dwi_FRB20240114A_L1_Band_2024_02_09_17_03_01_24,no0001,dw,FRB20240114A,2024-02-09T16:03:02.00005,60349.66877314876,21:27:40.9011,321.920421319528,04:21:00.0007,4.35000020642714,True,71.58172,71.21262,2_(summed),198.4,1250.15625,1200.3125,1400,0.3125,320,100,1_of_1,0.165,2400,3024193,0.47616,599.9998912,32,1280,320,3072000,768000,0,False,327,60349.67571759195,FRB20240114A_L1_Band_2024_02_09_17_03_01.txt
320,dwi_FRB20240114A_P_Band_2024_02_09_17_03_02_321,no0001,dw,FRB20240114A,2024-02-09T16:03:03,60349.66878472222,21:27:40.8028,321.920011508177,04:21:00.0007,4.35000020642714,True,71.58538,71.215,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3125000,0.4608,600.0,32,640,160,1536000,384000,0,False,327,60349.675729166665,FRB20240114A_P_Band_2024_02_09_17_03_02.txt
321,dwi_FRB20240114A_P_Band_2024_02_09_17_13_03_322,no0001,dw,FRB20240114A,2024-02-09T16:13:04,60349.67574074074,21:27:40.8028,321.920011508177,04:21:00.4003,4.35011119700116,True,73.73451,72.65958,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,2404773,0.4608,461.716416,32,640,160,1536000,384000,0,False,327,60349.68108468074,FRB20240114A_P_Band_2024_02_09_17_13_03.txt
144,dwi_FRB20240114A_PV_Band_2024_02_15_10_30_00_145,no0001,dw,FRB20240114A,2024-02-15T09:30:12,60355.39597222222,21:27:39.7995,321.915831432405,04:19:46.5006,4.32958349033751,True,-35.99618,53.87077,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3125000,0.4608,600.0,32,640,160,1536000,384000,0,False,327,60355.402916666666,FRB20240114A_PV_Band_2024_02_15_10_30_00.txt
24,dwi_FRB20240114A_L1_Band_2024_02_15_10_30_00_25,no0001,dw,FRB20240114A,2024-02-15T09:30:12,60355.39597222245,21:27:39.7995,321.915831432405,04:19:46.5006,4.32958349033751,True,-35.99618,53.87077,2_(summed),198.4,1250.15625,1200.3125,1400,0.3125,320,100,1_of_1,0.165,2400,3024193,0.47616,599.9998912,32,1280,320,3072000,768000,0,False,327,60355.40291666564,FRB20240114A_L1_Band_2024_02_15_10_30_00.txt
145,dwi_FRB20240114A_PV_Band_2024_02_15_10_40_12_146,no0001,dw,FRB20240114A,2024-02-15T09:40:13,60355.40292824074,21:27:39.7995,321.915831432405,04:19:46.6005,4.32961123798101,True,-33.06293,53.01114,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3125000,0.4608,600.0,32,640,160,1536000,384000,0,False,327,60355.40987268519,FRB20240114A_PV_Band_2024_02_15_10_40_12.txt
25,dwi_FRB20240114A_L1_Band_2024_02_15_10_40_12_26,no0001,dw,FRB20240114A,2024-02-15T09:40:13,60355.402928241034,21:27:39.7995,321.915831432405,04:19:46.6005,4.32961123798101,True,-33.06293,53.01114,2_(summed),198.4,1250.15625,1200.3125,1400,0.3125,320,100,1_of_1,0.165,2400,3024193,0.47616,599.9998912,32,1280,320,3072000,768000,0,False,327,60355.40987268422,FRB20240114A_L1_Band_2024_02_15_10_40_12.txt
146,dwi_FRB20240114A_PV_Band_2024_02_15_10_50_13_147,no0001,dw,FRB20240114A,2024-02-15T09:50:14,60355.409884259265,21:27:39.7995,321.915831432405,04:19:46.4007,4.329555742694,True,-30.0687,52.21723,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3125000,0.4608,600.0,32,640,160,1536000,384000,0,False,327,60355.41682870371,FRB20240114A_PV_Band_2024_02_15_10_50_13.txt
26,dwi_FRB20240114A_L1_Band_2024_02_15_10_50_13_27,no0001,dw,FRB20240114A,2024-02-15T09:50:14.0001,60355.409884259876,21:27:39.7995,321.915831432405,04:19:46.6005,4.32961123798101,True,-30.0682,52.21711,2_(summed),198.4,1250.15625,1200.3125,1400,0.3125,320,100,1_of_1,0.165,2400,3024193,0.47616,599.9998912,32,1280,320,3072000,768000,0,False,327,60355.41682870306,FRB20240114A_L1_Band_2024_02_15_10_50_13.txt
147,dwi_FRB20240114A_PV_Band_2024_02_15_11_00_14_148,no0001,dw,FRB20240114A,2024-02-15T10:00:15,60355.41684027778,21:27:39.7995,321.915831432405,04:19:46.5006,4.32958349033751,True,-27.01485,51.49253,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3125000,0.4608,600.0,32,640,160,1536000,384000,0,False,327,60355.423784722225,FRB20240114A_PV_Band_2024_02_15_11_00_14.txt
27,dwi_FRB20240114A_L1_Band_2024_02_15_11_00_14_28,no0001,dw,FRB20240114A,2024-02-15T10:00:15.0001,60355.416840278456,21:27:39.7995,321.915831432405,04:19:46.5006,4.32958349033751,True,-27.01485,51.49253,2_(summed),198.4,1250.15625,1200.3125,1400,0.3125,320,100,1_of_1,0.165,2400,3024193,0.47616,599.9998912,32,1280,320,3072000,768000,0,False,327,60355.42378472164,FRB20240114A_L1_Band_2024_02_15_11_00_14.txt
148,dwi_FRB20240114A_PV_Band_2024_02_15_11_10_15_149,no0001,dw,FRB20240114A,2024-02-15T10:10:16,60355.423796296294,21:27:39.7995,321.915831432405,04:19:46.5006,4.32958349033751,True,-23.90483,50.84059,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3125000,0.4608,600.0,32,640,160,1536000,384000,0,False,327,60355.43074074074,FRB20240114A_PV_Band_2024_02_15_11_10_15.txt
28,dwi_FRB20240114A_L1_Band_2024_02_15_11_10_15_29,no0001,dw,FRB20240114A,2024-02-15T10:10:16.0001,60355.42379629709,21:27:39.7995,321.915831432405,04:19:46.5006,4.32958349033751,True,-23.90483,50.84059,2_(summed),198.4,1250.15625,1200.3125,1400,0.3125,320,100,1_of_1,0.165,2400,3024193,0.47616,599.9998912,32,1280,320,3072000,768000,0,False,327,60355.430740740274,FRB20240114A_L1_Band_2024_02_15_11_10_15.txt
149,dwi_FRB20240114A_PV_Band_2024_02_15_11_20_16_150,no0001,dw,FRB20240114A,2024-02-15T10:20:17,60355.430752314816,21:27:39.7995,321.915831432405,04:19:46.6005,4.32961123798101,True,-20.74246,50.26444,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3101893,0.4608,595.563456,32,640,160,1536000,384000,0,False,327,60355.43764541037,FRB20240114A_PV_Band_2024_02_15_11_20_16.txt
29,dwi_FRB20240114A_L1_Band_2024_02_15_11_20_16_30,no0001,dw,FRB20240114A,2024-02-15T10:20:17.0001,60355.43075231554,21:27:39.7995,321.915831432405,04:19:46.6005,4.32961123798101,True,-20.74246,50.26444,2_(summed),198.4,1250.15625,1200.3125,1400,0.3125,320,100,1_of_1,0.165,2400,3024193,0.47616,599.9998912,32,1280,320,3072000,768000,0,False,327,60355.43769675872,FRB20240114A_L1_Band_2024_02_15_11_20_16.txt
30,dwi_FRB20240114A_L1_Band_2024_02_15_11_30_17_31,no0001,dw,FRB20240114A,2024-02-15T10:30:18.0001,60355.437708334255,21:27:39.7995,321.915831432405,04:19:46.5006,4.32958349033751,True,-17.53264,49.76718,2_(summed),198.4,1250.15625,1200.3125,1400,0.3125,320,100,1_of_1,0.165,2400,3024193,0.47616,599.9998912,32,1280,320,3072000,768000,0,False,327,60355.44465277744,FRB20240114A_L1_Band_2024_02_15_11_30_17.txt
150,dwi_FRB20240114A_PV_Band_2024_02_15_11_50_13_151,no0001,dw,FRB20240114A,2024-02-15T10:50:21,60355.45163194445,21:27:39.7995,321.915831432405,04:19:46.5006,4.32958349033751,True,-10.98876,49.01918,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3125000,0.4608,600.0,32,640,160,1536000,384000,0,False,327,60355.4585763889,FRB20240114A_PV_Band_2024_02_15_11_50_13.txt
31,dwi_FRB20240114A_L1_Band_2024_02_15_11_50_13_32,no0001,dw,FRB20240114A,2024-02-15T10:50:25,60355.451678240745,21:27:39.7995,321.915831432405,04:19:46.4007,4.329555742694,True,-10.96654,49.01726,2_(summed),198.4,1250.15625,1200.3125,1400,0.3125,320,100,1_of_1,0.165,2400,3024193,0.47616,599.9998912,32,1280,320,3072000,768000,0,False,327,60355.45862268393,FRB20240114A_L1_Band_2024_02_15_11_50_13.txt
151,dwi_FRB20240114A_PV_Band_2024_02_15_12_00_21_152,no0001,dw,FRB20240114A,2024-02-15T11:00:22,60355.45858796297,21:27:39.7995,321.915831432405,04:19:46.5006,4.32958349033751,True,-7.67397,48.77319,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3125000,0.4608,600.0,32,640,160,1536000,384000,0,False,327,60355.46553240741,FRB20240114A_PV_Band_2024_02_15_12_00_21.txt
32,dwi_FRB20240114A_L1_Band_2024_02_15_12_00_25_33,no0001,dw,FRB20240114A,2024-02-15T11:00:26,60355.458634259725,21:27:39.7995,321.915831432405,04:19:46.5006,4.32958349033751,True,-7.651581,48.77189,2_(summed),198.4,1250.15625,1200.3125,1400,0.3125,320,100,1_of_1,0.165,2400,3024193,0.47616,599.9998912,32,1280,320,3072000,768000,0,False,327,60355.46557870291,FRB20240114A_L1_Band_2024_02_15_12_00_25.txt
152,dwi_FRB20240114A_PV_Band_2024_02_15_12_10_22_153,no0001,dw,FRB20240114A,2024-02-15T11:10:23,60355.46554398148,21:27:39.7995,321.915831432405,04:19:46.5006,4.32958349033751,True,-4.339219,48.61449,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3125000,0.4608,600.0,32,640,160,1536000,384000,0,False,327,60355.47248842593,FRB20240114A_PV_Band_2024_02_15_12_10_22.txt
153,dwi_FRB20240114A_PV_Band_2024_02_15_12_20_23_154,no0001,dw,FRB20240114A,2024-02-15T11:20:24,60355.4725,21:27:39.7995,321.915831432405,04:19:46.4007,4.329555742694,True,-0.9935808,48.54391,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3125000,0.4608,600.0,32,640,160,1536000,384000,0,False,327,60355.47944444445,FRB20240114A_PV_Band_2024_02_15_12_20_23.txt
154,dwi_FRB20240114A_PV_Band_2024_02_15_12_30_24_155,no0001,dw,FRB20240114A,2024-02-15T11:30:25,60355.479456018526,21:27:39.7995,321.915831432405,04:19:46.4007,4.329555742694,True,2.355206,48.56195,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,1153541,0.4608,221.479872,32,640,160,1536000,384000,0,False,327,60355.48201944297,FRB20240114A_PV_Band_2024_02_15_12_30_24.txt
33,dwi_FRB20240114A_L1_Band_2024_02_15_12_34_12_34,no0001,dw,FRB20240114A,2024-02-15T11:34:23,60355.48221064838,21:27:39.8979,321.916241243755,04:19:46.4007,4.329555742694,True,3.679355,48.59353,2_(summed),198.4,1250.15625,1200.3125,1400,0.3125,320,100,1_of_1,0.165,2400,3024193,0.47616,599.9998912,32,1280,320,3072000,768000,0,False,327,60355.48915509156,FRB20240114A_L1_Band_2024_02_15_12_34_12.txt
155,dwi_FRB20240114A_PV_Band_2024_02_15_12_34_12_156,no0001,dw,FRB20240114A,2024-02-15T11:34:24,60355.48222222223,21:27:39.8979,321.916241243755,04:19:46.5006,4.32958349033751,True,3.684914,48.59368,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3125000,0.4608,600.0,32,640,160,1536000,384000,0,False,327,60355.48916666667,FRB20240114A_PV_Band_2024_02_15_12_34_12.txt
156,dwi_FRB20240114A_PV_Band_2024_02_15_12_47_08_157,no0001,dw,FRB20240114A,2024-02-15T11:47:20,60355.49120370371,21:27:39.7995,321.915831432405,04:19:46.4007,4.329555742694,True,7.991396,48.79296,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,370526,0.4608,71.140992,32,640,160,1536000,384000,0,False,327,60355.49202709482,FRB20240114A_PV_Band_2024_02_15_12_47_08.txt
157,dwi_FRB20240114A_PV_Band_2024_02_15_12_53_19_158,no0001,dw,FRB20240114A,2024-02-15T11:53:29,60355.49547453704,21:27:39.7995,321.915831432405,04:19:46.2992,4.32952756816368,True,10.02782,48.93883,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3125000,0.4608,600.0,32,640,160,1536000,384000,0,False,327,60355.50241898149,FRB20240114A_PV_Band_2024_02_15_12_53_19.txt
34,dwi_FRB20240114A_L1_Band_2024_02_15_12_53_19_35,no0001,dw,FRB20240114A,2024-02-15T11:53:31,60355.49549768519,21:27:39.8979,321.916241243755,04:19:46.1994,4.32949982052017,True,10.03891,48.93971,2_(summed),198.4,1250.15625,1200.3125,1400,0.3125,320,100,1_of_1,0.165,2400,3024193,0.47616,599.9998912,32,1280,320,3072000,768000,0,False,327,60355.502442128374,FRB20240114A_L1_Band_2024_02_15_12_53_19.txt
158,dwi_FRB20240114A_PV_Band_2024_02_15_13_03_29_159,no0001,dw,FRB20240114A,2024-02-15T12:03:30,60355.502430555556,21:27:39.8979,321.916241243755,04:19:46.2992,4.32952756816368,True,13.32368,49.24575,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3125000,0.4608,600.0,32,640,160,1536000,384000,0,False,327,60355.509375,FRB20240114A_PV_Band_2024_02_15_13_03_29.txt
35,dwi_FRB20240114A_L1_Band_2024_02_15_13_03_31_36,no0001,dw,FRB20240114A,2024-02-15T12:03:32,60355.50245370419,21:27:39.7995,321.915831432405,04:19:46.5006,4.32958349033751,True,13.33484,49.24693,2_(summed),198.4,1250.15625,1200.3125,1400,0.3125,320,100,1_of_1,0.165,2400,3024193,0.47616,599.9998912,32,1280,320,3072000,768000,0,False,327,60355.50939814738,FRB20240114A_L1_Band_2024_02_15_13_03_31.txt
159,dwi_FRB20240114A_PV_Band_2024_02_15_13_13_30_160,no0001,dw,FRB20240114A,2024-02-15T12:13:31,60355.50938657408,21:27:39.7995,321.915831432405,04:19:46.4007,4.329555742694,True,16.58648,49.63721,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,711903,0.4608,136.685376,32,640,160,1536000,384000,0,False,327,60355.51096858075,FRB20240114A_PV_Band_2024_02_15_13_13_30.txt
36,dwi_FRB20240114A_L1_Band_2024_02_15_13_13_32_37,no0001,dw,FRB20240114A,2024-02-15T12:13:33.0001,60355.50940972289,21:27:39.7995,321.915831432405,04:19:46.2992,4.32952756816368,True,16.59698,49.63865,2_(summed),198.4,1250.15625,1200.3125,1400,0.3125,320,100,1_of_1,0.165,2400,678891,0.47616,134.6919744,32,1280,320,3072000,768000,0,False,327,60355.51096865778,FRB20240114A_L1_Band_2024_02_15_13_13_32.txt
160,dwi_FRB20240114A_PV_Band_2024_02_15_14_40_48_161,no0001,dw,FRB20240114A,2024-02-15T13:41:02.65427e-07,60355.57013888889,21:27:40.8028,321.920011508177,04:21:00.0007,4.35000020642714,True,42.89972,56.20295,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,2060981,0.4608,395.708352,32,640,160,1536000,384000,0,False,327,60355.57471884667,FRB20240114A_PV_Band_2024_02_15_14_40_48.txt
161,dwi_FRB20240114A_PV_Band_2024_02_16_09_49_42_162,no0001,dw,FRB20240114A,2024-02-16T08:49:52,60356.36796296296,21:27:40.8028,321.920011508177,04:21:00.2005,4.35005570171415,True,-46.14282,57.4743,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,927653,0.4608,178.109376,32,640,160,1536000,384000,0,False,327,60356.37002441407,FRB20240114A_PV_Band_2024_02_16_09_49_42.txt
162,dwi_FRB20240114A_PV_Band_2024_02_16_09_53_37_163,no0001,dw,FRB20240114A,2024-02-16T08:53:46,60356.3706712963,21:27:40.8028,321.920011508177,04:21:00.2005,4.35005570171415,True,-45.09647,57.05233,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,1082440,0.4608,207.82848,32,640,160,1536000,384000,0,False,327,60356.373076718526,FRB20240114A_PV_Band_2024_02_16_09_53_37.txt
163,dwi_FRB20240114A_PV_Band_2024_02_16_10_04_40_164,no0001,dw,FRB20240114A,2024-02-16T09:04:49,60356.37834490741,21:27:40.8028,321.920011508177,04:21:00.5002,4.35013894464466,True,-42.08155,55.899,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3125000,0.4608,600.0,32,640,160,1536000,384000,0,False,327,60356.385289351856,FRB20240114A_PV_Band_2024_02_16_10_04_40.txt
37,dwi_FRB20240114A_L1_Band_2024_02_16_10_04_40_38,no0001,dw,FRB20240114A,2024-02-16T09:04:52,60356.37837962987,21:27:40.6979,321.919574376071,04:21:00.0007,4.35000020642714,True,-42.06677,55.89377,2_(summed),198.4,1250.15625,1200.3125,1400,0.3125,320,100,1_of_1,0.165,2400,3024193,0.47616,599.9998912,32,1280,320,3072000,768000,0,False,327,60356.38532407305,FRB20240114A_L1_Band_2024_02_16_10_04_40.txt
164,dwi_FRB20240114A_PV_Band_2024_02_16_10_14_49_165,no0001,dw,FRB20240114A,2024-02-16T09:14:50,60356.38530092593,21:27:40.8028,321.920011508177,04:21:00.1006,4.35002795407065,True,-39.2824,54.91055,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3125000,0.4608,600.0,32,640,160,1536000,384000,0,False,327,60356.39224537038,FRB20240114A_PV_Band_2024_02_16_10_14_49.txt
