,experiment,dish,scan,component,src,t0_ms,f0_MHz,toa_loc,terr_ms,ferr_MHz,gauss2d_twidth_ms,gauss2d_fwidth_MHz,begin_acf_range,end_acf_range,twidth_sigma_ms,fwidth_sigma_MHz,twidtherr_ms,fwidtherr_MHz,off_range_t0,off_range_t1,fluence_jyms,peak_snr,peak_flux_jy,fluence_tot_jyms,scint_bw_MHz,scint_bw_err_MHz,energy_iso_erg_per_hz,spectral_lum_erg_per_s_per_hz,id,sefd_jy,distance_Mpc,dm,toa_mjd_utc,ref_freq_MHz,toa_bary_tdb_inf_freq
0,pcn242,wb,no0023.ds.pazi,0,sfxc,512.4043242955255,328.0,coe,0,0,3.493999428917359,0,508.928,517.12,2.0569362346366185,18.03139694261212,0.0091647293220578,0.0804562121752836,2292,3928,204.43251968661264,8.176161267349727,71.72093812463031,0,4.9080460590595,0.6760430566052417,9.28352931782509e+31,1.1332433249298207e+34,B01-wb,0,0,0,60341.53821285065,352,60341.53374506349
0,pcn242,wb,no0023,0,scale,4235.611604844953,328.0,0,0,0,0.0,0,4214.784,4259.84,-4.524330046056939,-19.70996458087008,0.0868497733503348,0.3798988244720195,2388,3804,201.94147135940443,8.06220697691554,25.00376811109844,0,5.379479602232566e-09,1.6918020511632814,9.170407784063206e+31,2.0353355344600512e+33,B01-wb,0,0,0,0.0,0,0.0
0,pcn242,wb,no0023,0,spc,4235.611604844953,328.0,0,0,0,0.0,0,4214.784,4259.84,-4.6103333841437,-17.08560307783699,0.0887009182088061,0.1284579686506073,2388,3804,203.22898518235,8.078405547372979,25.05400563298405,0,-7.32591269595371e-08,23.550382139343995,9.228875352436098e+31,2.048312178718949e+33,B01-wb,0,0,0,0.0,0,0.0
0,p47030,wb,no0021.ds.pazi,0,sfxc,501.4034693860561,328.0,coe,0,0,5.069054005522782,0,493.056,508.416,-5.826129167610654,21.62195398701169,0.0078364446547055,0.0290848948818297,150,1748,1371.8918861896911,33.22071334424023,291.41068140778634,0,0.0159763989669114,0.0018366187551405,6.229927883221402e+32,4.0559426323056e+34,B105-wb,0,0,0,60386.376782525585,352,60386.372891146726
0,p47030,wb,no0021,0,scale,4139.375118385015,328.0,0,0,0,0.0,0,4120.576,4157.4400000000005,-7.214570992779264,19.60576679373664,0.007206258552526,0.019670973637465,2234,3804,1446.8690890684882,37.16957597365693,115.27606040061482,0,0.3701502414561342,0.0259789017944696,6.570408479048746e+32,1.7823373695336229e+34,B105-wb,0,0,0,0.0,0,0.0
0,p47030,wb,no0021,0,spc,4139.375118385015,328.0,0,0,0,0.0,0,4120.576,4157.4400000000005,7.12719284491248,19.41614714139973,0.0070621355838375,0.0193155638074125,2234,3804,1435.5317314412905,37.09195684224582,115.03533589821178,0,0.3125141867990239,0.0241268436531577,6.518924159391528e+32,1.768371354001608e+34,B105-wb,0,0,0,0.0,0,0.0
