,experiment,dish,scan,component,src,t0_ms,f0_MHz,toa_loc,terr_ms,ferr_MHz,gauss2d_twidth_ms,gauss2d_fwidth_MHz,begin_acf_range,end_acf_range,twidth_sigma_ms,fwidth_sigma_MHz,twidtherr_ms,fwidtherr_MHz,off_range_t0,off_range_t1,fluence_jyms,peak_snr,peak_flux_jy,fluence_tot_jyms,scint_bw_MHz,scint_bw_err_MHz,energy_iso_erg_per_hz,spectral_lum_erg_per_s_per_hz,id,sefd_jy,distance_Mpc,dm,toa_mjd_utc,ref_freq_MHz,toa_bary_tdb_inf_freq
0,stocke,60357,3437816.ds.pazi,0,sfxc,461.7977958293444,1381.46484375,st,0,0,0.6586316385831081,0,460.28117333333336,463.99488,-1.0832271381916274,-33.31913625324776,0.0086364505091288,0.2675763362100355,173,1778,20.147390346332124,8.599448348644238,16.012277336724487,0,0.4458458920945334,0.1250183816113677,9.149174957319124e+30,2.4636234841701169e+33,B03-st,0,0,0,60357.34378168892,1430.390625,60357.33913408901
0,stocke,60361,5475088.ds.pazi,0,sfxc,454.015868397559,1381.46484375,st,0,0,2.1984568661019392,0,450.66922666666665,458.53354666666667,-2.8391036939635765,-35.15137264821873,0.0201468737633216,0.2502569260245302,2301,4009,35.48540459157569,5.213512073435592,9.70762284203654,0,0.534685959430341,0.1457669596590881,1.6114353743023932e+31,2.0490460386942457e+33,B05-st,0,0,0,60361.54750886334,1430.390625,60361.54288713104
0,stocke,60366,3461485.ds.pazi,0,sfxc,452.3516568962385,1381.46484375,st,0,0,2.176170514362037,0,450.66922666666665,454.16448,-1.2799974033079422,38.31104933799261,0.0129446467796068,0.3911240138071626,180,1684,16.720003190348894,5.263932773478401,9.801506798293405,0,0.3456140844194771,0.1359053928598747,7.592756771265179e+30,2.1723051370425736e+33,B06-st,0,0,0,60366.34614858078,1430.390625,60366.34159176624
0,stocke,60369,3359967.ds.pazi,0,sfxc,457.4162367925669,1381.46484375,st,0,0,1.079943561506097,0,455.6936533333333,458.752,0.9485907621611122,42.44686989852842,0.0142125061415912,0.6616833888114518,2396,3987,12.73808477307468,4.716235553175995,8.781687917769766,0,0.0854277565652998,0.3759578493925137,5.78451919611712e+30,1.8913876766042828e+33,B08-st,0,0,0,60369.33599699041,1430.390625,60369.33149947803
0,stocke,60371,2798981.ds.pazi,0,sfxc,444.75562446451625,1381.46484375,st,0,0,1.4170526314593912,0,439.5281066666666,450.88768,-2.8529816502780503,40.93714189062184,0.0677753677751052,1.0058665103146471,2400,3444,11.293420958872302,3.8002350214044776,3.5380418975977164,0,0.1185561186275247,0.2487752388821237,5.128479790346049e+30,4.514676423010648e+32,B15-st,0,0,0,60371.27989818374,1430.390625,60371.27544686698
0,stocke,60372,5113801.ds.pazi,0,sfxc,446.935055855484,1381.46484375,st,0,0,0.7296685455122366,0,443.8971733333333,450.0138666666667,1.6314190282795589,28.14606368007497,0.0355094095184045,0.6162488086515415,2300,3888,14.516911999376893,7.654181045174728,7.126089064780534,0,0.5608212018917277,0.1418968587438559,6.59230627089549e+30,1.0777565445320385e+33,B16-st,0,0,0,60372.51138014962,1430.390625,60372.50696126541
0,stocke,60373,4876754.ds.pazi,0,sfxc,449.4112173419357,1381.46484375,st,0,0,2.2606844116424165,0,444.77098666666666,454.3829333333333,2.5020491877288324,36.3065673599168,0.0577156874286307,0.8484097056212208,180,1876,20.94921025462294,5.2584906016805935,4.895686704132809,0,1.593362431722988e-06,4958.990642493125,9.513291128153614e+30,9.897361541907863e+32,B20-st,0,0,0,60373.48767547448,1430.390625,60373.48328397677
0,stocke,60373,5456450.ds.pazi,0,sfxc,434.7179615793549,1381.46484375,st,0,0,2.7282575492722048,0,427.29472,442.14954666666665,-4.160994123299602,-38.30954649967416,0.0251426873591724,0.2360968022153236,184,1748,50.07606050283412,9.605914993907152,8.943165231040144,0,0.1939751098518949,0.2650874183944787,2.274014802106295e+31,1.5308255378092337e+33,B21-st,0,0,0,60373.54564500847,1430.390625,60373.54125515216
0,stocke,60374,3189053.ds.pazi,0,sfxc,443.85520210580654,1381.46484375,st,0,0,2.939766199803251,0,438.6542933333333,449.14005333333336,-3.333482113692224,37.85013570534619,0.0341189397658948,0.3934809116138922,1120,1868,28.41521920599792,6.266592332387063,5.834235541294488,0,7.416272078466763,1.5510442057944145,1.2903696582896589e+31,1.2305924017807568e+33,B22-st,0,0,0,60374.31819053136,1430.390625,60374.31382348055
0,stocke,60375,2980335.ds.pazi,0,sfxc,456.0802270790148,1381.46484375,st,0,0,1.527712793603008,0,451.7614933333333,461.81034666666665,2.0695189250185724,-33.37714626827564,0.0162029368698402,0.2633805543078625,1008,1894,29.3419428627444,7.58175646390953,9.982454598553954,0,0.866671383557227,0.1349543189130131,1.3324533064788826e+31,1.325975474295126e+33,B23-st,0,0,0,60375.29803356415,1430.390625,60375.29369675239
