,experiment,dish,scan,component,src,t0_ms,f0_MHz,toa_loc,terr_ms,ferr_MHz,gauss2d_twidth_ms,gauss2d_fwidth_MHz,begin_acf_range,end_acf_range,twidth_sigma_ms,fwidth_sigma_MHz,twidtherr_ms,fwidtherr_MHz,off_range_t0,off_range_t1,fluence_jyms,peak_snr,peak_flux_jy,fluence_tot_jyms,scint_bw_MHz,scint_bw_err_MHz,energy_iso_erg_per_hz,spectral_lum_erg_per_s_per_hz,id,sefd_jy,distance_Mpc,dm,toa_mjd_utc,ref_freq_MHz,toa_bary_tdb_inf_freq
0,pcn254,wb,no0012.ds.pazi,0,sfxc,249.0279638709678,1271.0,coe,0,0,1.807138283214516,0,245.248,253.44,2.041335034819368,48.69135073200912,0.0415470173814358,1.00563522056167,4696,7992,16.8863196192924,4.109213593040113,4.77642470269128,0,5.778502269786596e-05,2252.662667785372,7.668283084128708e+30,9.360697124180553e+32,B02-wb,0,0,0,60355.64416656103,1327,60355.63952713359
0,pcn254,wb,no0012,0,scale,1001.58928689282,1271.0,0,0,0,0.0,0,993.28,1007.616,2.8183016263877727,50.93147435627734,0.0480806936239358,0.8878189910113731,9112,13120,17.282819876981613,5.28434068887854,4.343302033540804,0,0.1683816441632039,0.1903943465366882,7.848338672761361e+30,5.474566596513226e+32,B02-wb,0,0,0,0.0,0,0.0
0,pcn254,wb,no0012,0,spc,1001.58928689282,1271.0,0,0,0,0.0,0,993.28,1007.616,-2.640265251014831,51.37496552000893,0.0483750937338259,0.963402804982204,9112,13120,16.664405728514765,5.255858004852695,4.319891563487177,0,-0.1438238462519204,0.2176600204512396,7.567509287756928e+30,5.278675563446518e+32,B02-wb,0,0,0,0.0,0,0.0
0,p47018,wb,no0024.ds.pazi,0,sfxc,265.0475520000001,1271.0,coe,0,0,2.336288827721187,0,260.096,270.336,2.8779248262152284,45.28201337214081,0.0665728704613851,1.0514299165063126,4672,7792,14.95501305093543,3.112767154306804,3.6181857167851343,0,0.1959009995054366,0.1312708515871928,6.791253285907996e+30,6.632083287019529e+32,B09-wb,0,0,0,60369.37076861749,1327,60369.36627808147
0,p47018,wb,no0024,0,scale,1011.4735835294856,1271.0,0,0,0,0.0,0,1000.41746875,1022.94478125,-2.5258495764527646,-33.30493222767046,0.0876086305062535,0.2623183568979153,8912,15648,8.087346921927848,4.451288442390416,3.6586560729797375,0,0.1866297257881065,0.133059093006774,3.672562582911621e+30,1.6302710689131788e+32,B09-wb,0,0,0,0.0,0,0.0
0,p47018,wb,no0024,0,spc,1011.4735835294856,1271.0,0,0,0,0.0,0,1000.41746875,1022.94478125,-2.4114620890366627,-32.95000064487233,0.0886300177157231,6.439480611213743,8912,15648,7.341377155514872,4.4283007835900925,3.639761782357622,0,0.165140783512396,0.1461324287729255,3.333808640665929e+30,1.4798962995101744e+32,B09-wb,0,0,0,0.0,0,0.0
0,p47019,wb,no0021.ds.pazi,0,sfxc,268.02124800000007,1271.0,coe,0,0,0.6862237063108387,0,263.68,270.848,1.755702014354592,45.40214040390822,0.053426098148849,1.3931704184589109,4832,7720,12.851345961032154,4.292321268656983,4.989263486868898,0,0.1963750608932006,0.1457209506251555,5.835952478874028e+30,8.141674775214884e+32,B11-wb,0,0,0,60370.29405853692,1327,60370.289589034684
0,p47019,wb,no0021,0,scale,996.7302486499492,1271.0,0,0,0,0.0,0,990.1777812499998,1001.4414375,-1.9634983608922247,49.98035093482839,0.0954118356206321,2.474194982043607,9000,13528,9.010857918225062,4.850223913844809,3.986553872516593,0,5.412391902086669e-05,682.3246161570914,4.091940156626498e+30,3.632870238406378e+32,B11-wb,0,0,0,0.0,0,0.0
0,p47019,wb,no0021,0,spc,996.7302486499492,1271.0,0,0,0,0.0,0,990.1777812499998,1001.4414375,-1.853961849540384,48.64126684089541,0.0950277116676155,2.530147229248255,9000,13528,8.668651110739635,4.850235702104161,3.98656356166328,0,-5.284601640928767e-05,538.4269512379332,3.936539883963404e+30,3.494904138221907e+32,B11-wb,0,0,0,0.0,0,0.0
0,p47019,wb,no0033.ds.pazi,0,sfxc,265.44624309677425,1271.0,coe,0,0,1.1897744544668072,0,262.144,268.8,1.254031915441593,43.81272872173391,0.0397333639745585,0.6501151004442967,4568,7616,16.05746158221949,5.443765536823196,6.327667228051036,0,0.232568253910372,0.1337588403543303,7.291888570218831e+30,1.0955361433622042e+33,B12-wb,0,0,0,60370.420980134455,1327,60370.41651362999
0,p47019,wb,no0033,0,scale,1009.3562535,1271.0,0,0,0,0.0,0,1005.5373125,1012.7050937499998,1.3141078852648158,43.516119283505645,0.0242363561558447,0.8077708415899963,8704,15648,15.429225402251385,6.92926558081625,5.695384589574812,0,0.144635142220456,0.1413246669509444,7.006598881269491e+30,9.77512934183014e+32,B12-wb,0,0,0,0.0,0,0.0
