,id,station,toa,toa_utc,peak_sn,fluence,fluence_err,width_ms,spectral-density,spec_den_err,spectral-luminosity,spec_lum_err,bandwidth,central frequency,2bit-wb-tag
142,B120-st,st,60394.58341998865,60394.5868739031,7.88,52.71,10.54,7.65,18.73,3.75,24.51,4.9,18.0,1414.0,0.0
143,B120-o8,o8,60394.583420237344,60394.58687327476,13.42,34.06,6.81,7.68,12.1,2.42,15.76,3.15,128.0,1424.0,0.0
144,B121-st,st,60396.24487430546,60396.248228529286,29.69,137.86,27.57,5.9,48.99,9.8,83.08,16.62,98.0,1381.0,0.0
145,B122-tr,tr,60398.43445480425,60398.43767253517,9.5,13.44,2.69,7.3,4.78,0.96,6.55,1.31,256.0,1418.0,0.0
146,B123-wb,wb,60424.43251762619,60424.43374724623,5.44,6.09,1.22,3.07,2.16,0.43,7.05,1.41,78.0,1271.0,0.0
147,B123-st,st,60424.432518350906,60424.43374515451,7.58,12.45,2.49,3.28,4.42,0.88,13.51,2.7,60.0,1381.0,0.0
148,B124-st,st,60425.44129293262,60425.4424318362,3.5,13.36,2.67,3.71,4.75,0.95,12.79,2.56,98.0,1381.0,0.0
149,B125-o8,o8,60431.43716603449,60431.43777478282,191.13,554.49,110.9,68.86,197.06,39.41,28.62,5.72,85.0,1424.0,0.0
150,B125-st,st,60431.43716980587,60431.43777544297,116.05,1168.39,233.68,47.4,415.22,83.04,87.61,17.52,98.0,1381.0,0.0
151,B126-wb,wb,60432.3850821836,60432.38560517579,8.14,36.38,7.28,10.75,12.93,2.59,12.03,2.41,128.0,1271.0,0.0
152,B127-wb,wb,60433.20315328247,60433.203601985886,4.14,21.31,4.26,10.75,7.57,1.51,7.05,1.41,94.0,1271.0,0.0
153,B127-st,st,60433.22429550885,60433.224739053374,4.64,13.92,2.78,9.61,4.95,0.99,5.15,1.03,98.0,1381.0,0.0
154,B128-o8,o8,60435.327811556446,60435.32806621881,12.01,13.81,2.76,4.61,4.91,0.98,10.65,2.13,128.0,1424.0,0.0
155,B129-wb,wb,60436.09551180714,60436.09571013079,4.68,25.15,5.03,37.89,8.94,1.79,2.36,0.47,128.0,1271.0,1.0
156,B130-wb,wb,60453.09349116298,60453.09209543139,9.49,13.67,2.73,3.07,4.86,0.97,15.82,3.16,128.0,1271.0,0.0
157,B131-st,st,60458.07607765735,60458.074220384005,4.79,22.4,4.48,6.12,7.96,1.59,13.02,2.6,98.0,1381.0,0.0
158,B132-wb,wb,60471.11648568393,60471.113486318696,9.26,77.12,15.42,26.62,27.41,5.48,10.3,2.06,94.0,1271.0,1.0
159,B133-wb,wb,60506.106182591066,60506.1007383813,6.07,67.8,13.56,18.94,24.09,4.82,12.72,2.54,128.0,1271.0,1.0
160,B134-tr,tr,60563.95707814191,60563.9511970828,13.3,20.84,4.17,6.66,7.4,1.48,11.13,2.23,72.0,1444.0,0.0
161,B135-wb,wb,60573.92643116617,60573.9209933675,21.37,70.25,14.05,5.5,24.96,4.99,45.37,9.07,82.0,1271.0,0.0
162,B136-wb,wb,60581.87749677785,60581.87250988648,31.16,211.15,42.23,14.21,75.04,15.01,52.83,10.57,83.0,1271.0,0.0
163,B137-tr,tr,60586.95765262046,60586.95299540394,33.47,113.18,22.64,14.08,40.22,8.04,28.57,5.71,70.0,1444.0,0.0
164,B137-wb,wb,60586.95765579363,60586.95299864159,397.87,3982.85,796.57,31.49,1415.43,283.09,449.61,89.92,128.0,1271.0,0.0
165,B138-tr,tr,60654.79267459724,60654.79400514649,4.48,6.79,1.36,10.24,2.41,0.48,2.36,0.47,128.0,1444.0,0.0
166,B139-tr,tr,60658.71896724756,60658.72063700569,14.53,21.3,4.26,2.82,7.57,1.51,26.89,5.38,128.0,1444.0,0.0
167,B139-wb,wb,60658.71896948136,60658.72064013613,34.06,118.2,23.64,3.2,42.01,8.4,131.3,26.26,24.0,1315.0,0.0
168,B140-wb,wb,60673.60706765002,60673.60990527511,33.0,173.43,34.69,11.52,61.63,12.33,53.51,10.7,128.0,1271.0,0.0
169,B141-tr,tr,60674.669723654224,60674.67263502189,363.47,805.41,161.08,9.34,286.23,57.25,306.39,61.28,128.0,1444.0,0.0
170,B142-wb,wb,60679.587260320295,60679.59050067575,5.7,30.91,6.18,10.24,10.98,2.2,10.73,2.15,128.0,1271.0,0.0
171,B143-wb,wb,60679.63358300681,60679.63682631113,9.62,92.09,18.42,26.11,32.73,6.55,12.54,2.51,128.0,1271.0,0.0
172,B144-wb,wb,60679.66900175127,60679.67224730848,8.6,28.05,5.61,10.75,9.97,1.99,9.27,1.85,83.0,1271.0,0.0
